run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-2-compute_invoices-clean-a2-peer-allowed-r01,family-2,compute_invoices,clean,2,peer,allowed,1,ok,True,31,0,0,192.466,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01,2026-06-09T23:07:06.677026+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r02,family-2,compute_invoices,clean,2,peer,allowed,2,ok,True,31,0,0,92.796,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02,2026-06-09T23:08:39.821760+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r03,family-2,compute_invoices,clean,2,peer,allowed,3,ok,True,31,0,0,199.958,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r03,2026-06-09T23:12:00.138142+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r04,family-2,compute_invoices,clean,2,peer,allowed,4,ok,True,31,0,0,282.356,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r04,2026-06-09T23:16:42.900505+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r05,family-2,compute_invoices,clean,2,peer,allowed,5,ok,True,31,0,0,191.204,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r05,2026-06-09T23:19:54.487219+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r06,family-2,compute_invoices,clean,2,peer,allowed,6,ok,True,31,0,0,152.709,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r06,2026-06-09T23:22:27.537361+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r07,family-2,compute_invoices,clean,2,peer,allowed,7,ok,True,31,0,0,178.113,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r07,2026-06-09T23:25:26.016415+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r08,family-2,compute_invoices,clean,2,peer,allowed,8,ok,True,31,0,0,123.095,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r08,2026-06-09T23:27:29.495656+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r09,family-2,compute_invoices,clean,2,peer,allowed,9,ok,False,0,0,0,87.874,solution not produced: <repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r09/workspace/pipeline.py,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r09,2026-06-09T23:28:57.376473+00:00
family-2-compute_invoices-clean-a2-peer-allowed-r10,family-2,compute_invoices,clean,2,peer,allowed,10,ok,True,31,0,0,150.83,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r10,2026-06-09T23:31:28.566478+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices,clean,4,peer,allowed,1,ok,True,31,0,0,170.294,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01,2026-06-09T23:34:19.239681+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices,clean,4,peer,allowed,2,ok,True,31,0,0,163.97,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02,2026-06-09T23:37:03.550556+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices,clean,4,peer,allowed,3,ok,True,31,0,0,206.814,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r03,2026-06-09T23:40:30.731699+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r04,family-2,compute_invoices,clean,4,peer,allowed,4,ok,True,31,0,0,167.064,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r04,2026-06-09T23:43:18.173033+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r05,family-2,compute_invoices,clean,4,peer,allowed,5,ok,True,31,0,0,138.886,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r05,2026-06-09T23:45:37.420788+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r06,family-2,compute_invoices,clean,4,peer,allowed,6,ok,False,30,1,0,89.653,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r06,2026-06-09T23:47:07.467379+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r07,family-2,compute_invoices,clean,4,peer,allowed,7,ok,True,31,0,0,217.998,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r07,2026-06-09T23:50:45.817541+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r08,family-2,compute_invoices,clean,4,peer,allowed,8,ok,True,31,0,0,211.486,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r08,2026-06-09T23:54:17.701453+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r09,family-2,compute_invoices,clean,4,peer,allowed,9,ok,True,31,0,0,185.932,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r09,2026-06-09T23:57:23.967970+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r10,family-2,compute_invoices,clean,4,peer,allowed,10,ok,True,31,0,0,177.473,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a4-peer-allowed-r10,2026-06-10T00:00:21.783050+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r01,family-2,compute_invoices,clean,8,peer,allowed,1,ok,False,30,1,0,821.886,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r01,2026-06-10T00:14:04.063436+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r02,family-2,compute_invoices,clean,8,peer,allowed,2,ok,False,30,1,0,318.659,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r02,2026-06-10T00:19:23.090534+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r03,family-2,compute_invoices,clean,8,peer,allowed,3,ok,False,30,1,0,233.364,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r03,2026-06-10T00:23:16.813509+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r04,family-2,compute_invoices,clean,8,peer,allowed,4,ok,False,30,1,0,172.279,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r04,2026-06-10T00:26:09.460349+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r05,family-2,compute_invoices,clean,8,peer,allowed,5,ok,False,30,1,0,135.242,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r05,2026-06-10T00:28:25.057826+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r06,family-2,compute_invoices,clean,8,peer,allowed,6,ok,False,30,1,0,180.069,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r06,2026-06-10T00:31:25.530640+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r07,family-2,compute_invoices,clean,8,peer,allowed,7,ok,False,30,1,0,217.514,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r07,2026-06-10T00:35:03.406563+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r08,family-2,compute_invoices,clean,8,peer,allowed,8,ok,False,30,1,0,369.719,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r08,2026-06-10T00:41:13.492010+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r09,family-2,compute_invoices,clean,8,peer,allowed,9,ok,False,30,1,0,177.567,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r09,2026-06-10T00:44:11.430671+00:00
family-2-compute_invoices-clean-a8-peer-allowed-r10,family-2,compute_invoices,clean,8,peer,allowed,10,ok,False,30,1,0,435.597,,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a8-peer-allowed-r10,2026-06-10T00:51:27.389419+00:00
