run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool,target_kind
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/compute_line_totals.py,agent,file,agent_to_file,create,2026-06-09T23:04:21.039Z,274.0,253,c09c1e68-85b9-44d1-b3dd-dd72431b9792,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/apply_discount.py,agent,file,agent_to_file,create,2026-06-09T23:04:24.825Z,281.0,479,269419a7-d963-4670-8c66-5a62980f150b,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/compute_tax.py,agent,file,agent_to_file,create,2026-06-09T23:04:28.423Z,231.0,351,4844277a-650c-4b46-8cbe-088932b4cbd2,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/format_invoices.py,agent,file,agent_to_file,create,2026-06-09T23:04:33.097Z,318.0,666,4b422e86-a21a-4a38-b952-343c6db8e2e4,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-1,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/parse.py,agent,file,agent_to_file,create,2026-06-09T23:04:57.958Z,1298.0,1917,50ed1087-abdb-458c-b898-d826baee5125,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-1,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/validate.py,agent,file,agent_to_file,create,2026-06-09T23:05:00.188Z,1298.0,371,fe743c06-5111-4fde-96ea-d020987a0fe8,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-1,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/resolve_customer.py,agent,file,agent_to_file,create,2026-06-09T23:05:01.983Z,1298.0,392,dced99eb-095c-4575-bd0b-a7abb1c9d85f,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-1,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/resolve_product.py,agent,file,agent_to_file,create,2026-06-09T23:05:03.249Z,1298.0,396,4115ccb0-3799-4058-9d41-44e45797e501,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/pipeline.py,agent,file,agent_to_file,create,2026-06-09T23:05:27.264Z,877.0,495,fec5a0d9-c48f-4c37-9287-cc9d923847c4,Write,
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/pipeline.py,agent-1,file,agent,file_to_agent,read,2026-06-09T23:05:46.405Z,570.0,528,aefa470b-85bc-422c-b627-d097c9ea28a8,Read,
