run_id,node_id,node_type,label
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-1,agent,agent-1
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-2,agent,agent-2
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/compute_line_totals.py,file,compute_line_totals.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/apply_discount.py,file,apply_discount.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/compute_tax.py,file,compute_tax.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/format_invoices.py,file,format_invoices.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/parse.py,file,parse.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/validate.py,file,validate.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/resolve_customer.py,file,resolve_customer.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/resolve_product.py,file,resolve_product.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r01/workspace/pipeline.py,file,pipeline.py
family-2-compute_invoices-clean-a2-peer-allowed-r01,peer,agent,peer
family-2-compute_invoices-clean-a2-peer-allowed-r01,agent-b,agent,agent-b
family-2-compute_invoices-clean-a2-peer-allowed-r02,agent-1,agent,agent-1
family-2-compute_invoices-clean-a2-peer-allowed-r02,agent-2,agent,agent-2
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/parse.py,file,parse.py
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/validate.py,file,validate.py
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/compute_line_totals.py,file,compute_line_totals.py
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/apply_discount.py,file,apply_discount.py
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/resolve_customer.py,file,resolve_customer.py
family-2-compute_invoices-clean-a2-peer-allowed-r02,<repo>/data/compute-invoices-scaling/runs/family-2-compute_invoices-clean-a2-peer-allowed-r02/workspace/compute_tax.py,file,compute_tax.py
