run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-2-compute_invoices-clean-a2-peer-allowed-r01,family-2,compute_invoices/clean,2,peer,allowed,True,184.555,122,57058,13,28,4,9,6,0,11,11
family-2-compute_invoices-clean-a2-peer-allowed-r02,family-2,compute_invoices/clean,2,peer,allowed,True,87.553,77,27525,12,16,3,9,3,0,9,4
family-2-compute_invoices-clean-a2-peer-allowed-r03,family-2,compute_invoices/clean,2,peer,allowed,True,196.084,134,63962,12,25,3,9,6,0,10,9
family-2-compute_invoices-clean-a2-peer-allowed-r04,family-2,compute_invoices/clean,2,peer,allowed,True,277.219,103,60902,13,19,4,9,6,3,9,4
family-2-compute_invoices-clean-a2-peer-allowed-r05,family-2,compute_invoices/clean,2,peer,allowed,True,187.553,150,47236,13,25,4,9,7,3,9,9
family-2-compute_invoices-clean-a2-peer-allowed-r06,family-2,compute_invoices/clean,2,peer,allowed,True,148.119,101,43999,12,23,3,9,5,0,9,9
family-2-compute_invoices-clean-a2-peer-allowed-r07,family-2,compute_invoices/clean,2,peer,allowed,True,171.975,128,42089,12,23,3,9,5,0,9,9
family-2-compute_invoices-clean-a2-peer-allowed-r08,family-2,compute_invoices/clean,2,peer,allowed,True,119.08,103,44991,12,22,3,9,4,0,9,9
family-2-compute_invoices-clean-a2-peer-allowed-r09,family-2,compute_invoices/clean,2,peer,allowed,False,82.122,75,23483,11,12,3,8,3,0,9,0
family-2-compute_invoices-clean-a2-peer-allowed-r10,family-2,compute_invoices/clean,2,peer,allowed,True,145.647,111,58559,12,22,3,9,4,0,9,9
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices/clean,4,peer,allowed,True,165.146,184,96674,14,38,5,9,28,26,10,0
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices/clean,4,peer,allowed,True,158.888,296,71492,14,38,5,9,13,6,11,14
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices/clean,4,peer,allowed,True,202.801,420,122739,14,59,5,9,13,4,15,31
family-2-compute_invoices-clean-a4-peer-allowed-r04,family-2,compute_invoices/clean,4,peer,allowed,True,161.835,227,78462,14,26,5,9,16,12,10,0
family-2-compute_invoices-clean-a4-peer-allowed-r05,family-2,compute_invoices/clean,4,peer,allowed,True,134.877,184,65276,15,34,5,10,13,7,11,10
family-2-compute_invoices-clean-a4-peer-allowed-r06,family-2,compute_invoices/clean,4,peer,allowed,False,85.197,205,31540,14,20,5,9,5,0,10,5
family-2-compute_invoices-clean-a4-peer-allowed-r07,family-2,compute_invoices/clean,4,peer,allowed,True,213.383,248,95025,14,43,5,9,27,24,10,6
family-2-compute_invoices-clean-a4-peer-allowed-r08,family-2,compute_invoices/clean,4,peer,allowed,True,206.943,319,143131,14,56,5,9,32,31,11,13
family-2-compute_invoices-clean-a4-peer-allowed-r09,family-2,compute_invoices/clean,4,peer,allowed,True,181.515,292,91719,14,52,5,9,18,12,12,22
family-2-compute_invoices-clean-a4-peer-allowed-r10,family-2,compute_invoices/clean,4,peer,allowed,True,172.674,252,73907,14,31,5,9,21,14,10,0
family-2-compute_invoices-clean-a8-peer-allowed-r01,family-2,compute_invoices/clean,8,peer,allowed,False,817.299,769,116585,18,62,9,9,13,0,10,39
family-2-compute_invoices-clean-a8-peer-allowed-r02,family-2,compute_invoices/clean,8,peer,allowed,False,314.372,598,122231,18,63,9,9,15,0,11,37
family-2-compute_invoices-clean-a8-peer-allowed-r03,family-2,compute_invoices/clean,8,peer,allowed,False,228.977,691,174728,19,73,10,9,32,16,13,28
family-2-compute_invoices-clean-a8-peer-allowed-r04,family-2,compute_invoices/clean,8,peer,allowed,False,168.19,565,153281,21,89,9,12,46,31,13,30
family-2-compute_invoices-clean-a8-peer-allowed-r05,family-2,compute_invoices/clean,8,peer,allowed,False,131.225,522,114776,18,71,9,9,16,0,11,44
family-2-compute_invoices-clean-a8-peer-allowed-r06,family-2,compute_invoices/clean,8,peer,allowed,False,175.356,669,166224,18,87,9,9,17,0,19,51
family-2-compute_invoices-clean-a8-peer-allowed-r07,family-2,compute_invoices/clean,8,peer,allowed,False,212.606,731,280331,18,122,9,9,57,41,12,53
family-2-compute_invoices-clean-a8-peer-allowed-r08,family-2,compute_invoices/clean,8,peer,allowed,False,365.109,692,215493,18,102,9,9,25,8,14,63
family-2-compute_invoices-clean-a8-peer-allowed-r09,family-2,compute_invoices/clean,8,peer,allowed,False,173.367,506,110384,18,49,9,9,36,28,9,4
family-2-compute_invoices-clean-a8-peer-allowed-r10,family-2,compute_invoices/clean,8,peer,allowed,False,430.855,823,235230,20,128,11,9,57,40,13,58
