family,draw,n,tau,cum_frac_dir,cum_frac_bc
process_orders,solo,2,0.0,0.5,0.5
process_orders,solo,2,0.05,0.55,0.55
process_orders,solo,2,0.1,0.75,0.75
process_orders,solo,2,0.15,0.85,0.85
process_orders,solo,2,0.2,0.9,0.9
process_orders,solo,2,0.25,0.9,0.9
process_orders,solo,2,0.3,0.9,0.9
process_orders,solo,2,0.35,0.9,0.9
process_orders,solo,2,0.4,0.95,0.95
process_orders,solo,2,0.45,0.95,0.95
process_orders,solo,2,0.5,0.95,0.95
process_orders,solo,2,0.55,0.95,0.95
process_orders,solo,2,0.6,1.0,1.0
process_orders,solo,2,0.65,1.0,1.0
process_orders,solo,2,0.7,1.0,1.0
process_orders,solo,2,0.75,1.0,1.0
process_orders,solo,2,0.8,1.0,1.0
process_orders,solo,2,0.85,1.0,1.0
process_orders,solo,2,0.9,1.0,1.0
process_orders,solo,2,0.95,1.0,1.0
process_orders,solo,2,1.0,1.0,1.0
process_orders,solo,4,0.0,0.08611111111111111,0.08333333333333333
process_orders,solo,4,0.05,0.38055555555555554,0.375
process_orders,solo,4,0.1,0.6333333333333333,0.65
process_orders,solo,4,0.15,0.7972222222222223,0.8
process_orders,solo,4,0.2,0.9166666666666666,0.9166666666666666
process_orders,solo,4,0.25,0.9333333333333333,0.9333333333333333
process_orders,solo,4,0.3,0.975,0.975
process_orders,solo,4,0.35,0.975,0.975
process_orders,solo,4,0.4,0.975,0.975
process_orders,solo,4,0.45,0.975,0.975
process_orders,solo,4,0.5,0.9833333333333334,0.9833333333333334
process_orders,solo,4,0.55,1.0,1.0
process_orders,solo,4,0.6,1.0,1.0
process_orders,solo,4,0.65,1.0,1.0
process_orders,solo,4,0.7,1.0,1.0
process_orders,solo,4,0.75,1.0,1.0
process_orders,solo,4,0.8,1.0,1.0
process_orders,solo,4,0.85,1.0,1.0
process_orders,solo,4,0.9,1.0,1.0
process_orders,solo,4,0.95,1.0,1.0
process_orders,solo,4,1.0,1.0,1.0
process_orders,solo,8,0.0,0.0133078231292517,0.052083333333333336
process_orders,solo,8,0.05,0.4232100487780085,0.44723639455782316
process_orders,solo,8,0.1,0.7613920836670983,0.7816751700680272
process_orders,solo,8,0.15,0.8955800835539941,0.9048469387755101
process_orders,solo,8,0.2,0.9226901583531445,0.9298469387755102
process_orders,solo,8,0.25,0.9562628897712931,0.9607142857142857
process_orders,solo,8,0.3,0.9635431095515129,0.9660714285714287
process_orders,solo,8,0.35,0.9745124973066149,0.9767857142857143
process_orders,solo,8,0.4,0.9762982115923293,0.9785714285714286
process_orders,solo,8,0.45,0.9818304244774833,0.9839285714285714
process_orders,solo,8,0.5,0.9889732816203404,0.9910714285714285
process_orders,solo,8,0.55,0.9962535014005602,0.9964285714285713
process_orders,solo,8,0.6,0.9962535014005602,0.9964285714285713
process_orders,solo,8,0.65,0.9962535014005602,0.9964285714285713
process_orders,solo,8,0.7,0.9982142857142857,0.9982142857142857
process_orders,solo,8,0.75,0.9982142857142857,0.9982142857142857
process_orders,solo,8,0.8,0.9982142857142857,0.9982142857142857
process_orders,solo,8,0.85,0.9982142857142857,0.9982142857142857
process_orders,solo,8,0.9,0.9982142857142857,0.9982142857142857
process_orders,solo,8,0.95,0.9982142857142857,0.9982142857142857
process_orders,solo,8,1.0,1.0,1.0
process_orders,peer,2,0.0,0.16666666666666666,0.16666666666666666
process_orders,peer,2,0.05,0.5555555555555556,0.5555555555555556
process_orders,peer,2,0.1,0.7222222222222222,0.7222222222222222
process_orders,peer,2,0.15,0.7222222222222222,0.7222222222222222
process_orders,peer,2,0.2,0.7222222222222222,0.7222222222222222
process_orders,peer,2,0.25,0.8333333333333334,0.8333333333333334
process_orders,peer,2,0.3,0.8888888888888888,0.8888888888888888
process_orders,peer,2,0.35,0.8888888888888888,0.8888888888888888
process_orders,peer,2,0.4,0.8888888888888888,0.8888888888888888
process_orders,peer,2,0.45,0.8888888888888888,0.8888888888888888
process_orders,peer,2,0.5,0.9444444444444444,0.9444444444444444
process_orders,peer,2,0.55,0.9444444444444444,0.9444444444444444
process_orders,peer,2,0.6,0.9444444444444444,0.9444444444444444
process_orders,peer,2,0.65,1.0,1.0
process_orders,peer,2,0.7,1.0,1.0
process_orders,peer,2,0.75,1.0,1.0
process_orders,peer,2,0.8,1.0,1.0
process_orders,peer,2,0.85,1.0,1.0
process_orders,peer,2,0.9,1.0,1.0
process_orders,peer,2,0.95,1.0,1.0
process_orders,peer,2,1.0,1.0,1.0
process_orders,peer,4,0.0,0.075,0.075
process_orders,peer,4,0.05,0.325,0.325
process_orders,peer,4,0.1,0.6416666666666667,0.6416666666666667
process_orders,peer,4,0.15,0.8,0.8
process_orders,peer,4,0.2,0.875,0.875
process_orders,peer,4,0.25,0.925,0.925
process_orders,peer,4,0.3,0.9583333333333334,0.9583333333333334
process_orders,peer,4,0.35,0.9583333333333334,0.9583333333333334
process_orders,peer,4,0.4,0.9666666666666666,0.9666666666666666
process_orders,peer,4,0.45,0.975,0.975
process_orders,peer,4,0.5,0.975,0.975
process_orders,peer,4,0.55,0.9833333333333334,0.9833333333333334
process_orders,peer,4,0.6,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.65,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.7,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.75,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.8,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.85,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.9,0.9916666666666666,0.9916666666666666
process_orders,peer,4,0.95,0.9916666666666666,0.9916666666666666
process_orders,peer,4,1.0,1.0,1.0
process_orders,peer,8,0.0,0.020124533094938647,0.05554957774574678
process_orders,peer,8,0.05,0.13417082675394695,0.16251159645308927
process_orders,peer,8,0.1,0.32884237981059317,0.3784048903732196
process_orders,peer,8,0.15,0.48221366529733356,0.5188373407601554
process_orders,peer,8,0.2,0.5844376827752786,0.619733824572218
process_orders,peer,8,0.25,0.6461097835138756,0.6778694578057642
process_orders,peer,8,0.3,0.7221166684813013,0.749651096430662
process_orders,peer,8,0.35,0.7639150874536333,0.7865995538394774
process_orders,peer,8,0.4,0.7924965991096792,0.8143589184548887
process_orders,peer,8,0.45,0.8389512679337304,0.8590439769958025
process_orders,peer,8,0.5,0.8737952055087606,0.8916161522073505
process_orders,peer,8,0.55,0.8828588309589407,0.9001776255771862
process_orders,peer,8,0.6,0.891022096265063,0.9083408908833087
process_orders,peer,8,0.65,0.9095947427149473,0.9231211384843411
process_orders,peer,8,0.7,0.9397267955360757,0.9507343789024596
process_orders,peer,8,0.75,0.9596599862036472,0.96610986459873
process_orders,peer,8,0.8,0.9828005467757019,0.9847007722007722
process_orders,peer,8,0.85,0.9891891891891891,0.9891891891891891
process_orders,peer,8,0.9,0.9891891891891891,0.9891891891891891
process_orders,peer,8,0.95,0.9891891891891891,0.9891891891891891
process_orders,peer,8,1.0,1.0,1.0
summarise_transactions,solo,2,0.0,0.45,0.45
summarise_transactions,solo,2,0.05,0.6,0.6
summarise_transactions,solo,2,0.1,0.6,0.6
summarise_transactions,solo,2,0.15,0.6,0.6
summarise_transactions,solo,2,0.2,0.6,0.6
summarise_transactions,solo,2,0.25,0.6,0.6
summarise_transactions,solo,2,0.3,0.65,0.65
summarise_transactions,solo,2,0.35,0.75,0.75
summarise_transactions,solo,2,0.4,0.8,0.8
summarise_transactions,solo,2,0.45,0.8,0.8
summarise_transactions,solo,2,0.5,0.8,0.8
summarise_transactions,solo,2,0.55,0.8,0.8
summarise_transactions,solo,2,0.6,0.85,0.85
summarise_transactions,solo,2,0.65,0.85,0.85
summarise_transactions,solo,2,0.7,0.85,0.85
summarise_transactions,solo,2,0.75,0.85,0.85
summarise_transactions,solo,2,0.8,0.85,0.85
summarise_transactions,solo,2,0.85,0.85,0.85
summarise_transactions,solo,2,0.9,0.85,0.85
summarise_transactions,solo,2,0.95,0.85,0.85
summarise_transactions,solo,2,1.0,1.0,1.0
summarise_transactions,solo,4,0.0,0.10625,0.19181818181818183
summarise_transactions,solo,4,0.05,0.32916666666666666,0.6068181818181818
summarise_transactions,solo,4,0.1,0.6125,0.771969696969697
summarise_transactions,solo,4,0.15,0.8645833333333334,0.915
summarise_transactions,solo,4,0.2,0.9375,0.9666666666666666
summarise_transactions,solo,4,0.25,0.975,0.9833333333333334
summarise_transactions,solo,4,0.3,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.35,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.4,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.45,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.5,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.55,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.6,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.65,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.7,1.0,1.0
summarise_transactions,solo,4,0.75,1.0,1.0
summarise_transactions,solo,4,0.8,1.0,1.0
summarise_transactions,solo,4,0.85,1.0,1.0
summarise_transactions,solo,4,0.9,1.0,1.0
summarise_transactions,solo,4,0.95,1.0,1.0
summarise_transactions,solo,4,1.0,1.0,1.0
summarise_transactions,solo,8,0.0,0.00965437788018433,0.08154648491605013
summarise_transactions,solo,8,0.05,0.12829777286117666,0.3168171804041369
summarise_transactions,solo,8,0.1,0.489545536962111,0.6777228761576588
summarise_transactions,solo,8,0.15,0.6906354027877943,0.873495538278147
summarise_transactions,solo,8,0.2,0.8410848948974644,0.9455446630664023
summarise_transactions,solo,8,0.25,0.9151228573058384,0.9760850671068063
summarise_transactions,solo,8,0.3,0.9352534256622131,0.9821820570733614
summarise_transactions,solo,8,0.35,0.94710324251203,0.9858908482821527
summarise_transactions,solo,8,0.4,0.9588889567977443,0.9915551839464882
summarise_transactions,solo,8,0.45,0.9682502943848883,0.9937290969899666
summarise_transactions,solo,8,0.5,0.9788414273898145,0.9937290969899666
summarise_transactions,solo,8,0.55,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.6,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.65,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.7,0.9964285714285713,1.0
summarise_transactions,solo,8,0.75,1.0,1.0
summarise_transactions,solo,8,0.8,1.0,1.0
summarise_transactions,solo,8,0.85,1.0,1.0
