family,draw,n,N,excluded,n_zero_directed,tau50_dir,tau90_dir,tau_complete_dir,agent_completion,sustained_second_tau,sustained_last_tau,tau50_bc,tau90_bc,tau_complete_bc,mean_byte_size,mean_token_cost,n_directed_pairs,n_sustained_pairs
process_orders,solo,2,10,0,0,0.0,0.16536887369614267,0.16536887369614267,0.08268443684807134,0.7316314010459077,0.7923254082914684,0.0,0.16536887369614267,0.16536887369614267,852.1833333333334,212.38666666666668,2.0,1.8
process_orders,solo,4,10,0,0,0.0716301935984525,0.16328426901275903,0.30136092980071244,0.14751226900889167,0.5116964041637948,0.731136700728227,0.07010841284424828,0.15821774284070475,0.30136092980071244,502.957439240676,125.47831278304238,11.7,10.8
process_orders,solo,8,10,0,0,0.059399486139627825,0.17717977716970085,0.39686849341002217,0.15759149936611658,0.3806645521492693,0.6102235024019889,0.05650744715426501,0.17454071212852545,0.36388328618791776,353.5077371036799,88.16612553663933,51.6,40.3
process_orders,peer,2,10,0,1,0.029065136894136073,0.21838770554132456,0.21838770554132456,0.12372642121773031,0.5515833213673639,0.7927937552266942,0.029065136894136073,0.21838770554132456,0.21838770554132456,716.4707142857143,178.49261904761903,1.5,1.2
process_orders,peer,4,10,0,0,0.07523198377939096,0.2010696525927246,0.3590126714941827,0.16288865732676955,0.5839139020282461,0.7446294442571324,0.07523198377939096,0.2010696525927246,0.3590126714941827,522.8684019005188,130.26058890706068,12.0,11.0
process_orders,peer,8,10,0,0,0.1690075197725566,0.5992066105533389,0.656595649089886,0.3248538160993966,0.6038565394718426,0.7191042592934103,0.1589861631949502,0.5942940956832802,0.656595649089886,388.422163943472,97.00889837101384,38.6,24.2
summarise_transactions,solo,2,10,0,0,0.03166786425513141,0.46218903977644066,0.46218903977644066,0.24692845201578603,0.5940714659623131,0.6673315180819764,0.03166786425513141,0.46218903977644066,0.46218903977644066,696.2978571428572,172.78023809523808,1.7,1.0
summarise_transactions,solo,4,10,0,2,0.06262587278143282,0.13863491299078823,0.19309325245992753,0.12112359651736214,0.6563547580285535,0.8009645141997201,0.028025158221336516,0.12883730262596071,0.18233408973004422,631.0735376352234,156.69483271149215,3.9,3.7
summarise_transactions,solo,8,10,0,0,0.09976787519280679,0.25085747731986324,0.4993263218299079,0.21721394387694465,0.4738464643844839,0.7273957980016198,0.07960837582982314,0.1511344104153687,0.31762915076065235,466.79814817047844,116.04722552505446,30.9,17.0
summarise_transactions,peer,2,10,0,0,0.055839972694481,0.2901689330377763,0.2901689330377763,0.17300445286612864,0.7164211477841269,0.7795555458643291,0.055839972694481,0.2901689330377763,0.2901689330377763,748.7166666666667,185.88666666666666,1.5,1.2
summarise_transactions,peer,4,10,0,1,0.14059908465222049,0.3613766422706852,0.41273833213974265,0.24224321960557507,0.6927354598571414,0.8554155611375118,0.06437546609719769,0.21565482271407635,0.28453683507936894,574.5712817617166,142.8103069828722,5.5,3.8
summarise_transactions,peer,8,10,0,0,0.09870651168790776,0.2612676877559027,0.42689717075295885,0.2062917024882176,0.5341473475888934,0.7039784162468407,0.06747196127794873,0.29085022257490845,0.4519943579424125,457.86061634803673,113.9126210027511,31.6,15.0
compute_invoices,peer,2,10,0,8,0.023938762885731577,0.023938762885731577,0.023938762885731577,0.023938762885731577,1.0,1.0,0.023938762885731577,0.023938762885731577,0.023938762885731577,918.4859523809524,226.6804761904762,0.2,0.2
compute_invoices,peer,4,10,0,1,0.1548726351089509,0.3719797625979287,0.43044619994614747,0.2825705766373631,0.5572171228551779,0.7178065653830824,0.0472096144251274,0.16405350028978277,0.16992270362562006,843.2081807081807,208.7038179181929,6.2,4.4
compute_invoices,peer,8,10,0,4,0.15942414229277724,0.27054158524592525,0.3225251329757917,0.23741049119595914,0.6158032727873723,0.7538479344487119,0.07406812643219975,0.2011784447993501,0.2151828836392343,741.6084574845574,183.6505083473981,7.9,5.2
