family,instance_prefix,draw,policy,pattern,n,N,M_mean,W_mean,R_mean,C_mean,tok_M_mean,tok_R_mean,phi_mean,phi_W0_dropped,readers_per_written_mean,shared_files_mean,private_files_mean,broadcast_read_share_mean,broadcast_share_R0_dropped,eff_team_t1,eff_team_t2,eff_team_t3,eff_team_t5,eff_part_t1,eff_part_t2,eff_part_t3,eff_part_t5,eff_directed_t2,n_active_mean,n_directed_mean,n_qual_t2_mean
family-1,process_orders,solo,forbidden,clean,2,10,4.0,2.9,1.6,8.5,739.3,458.4,0.5833333333333333,0,1.1,0.1,1.1,0.1,0,0.9,0.85,0.2,0.0,1.0,1.0,1.0,nan,0.95,1.8,1.8,1.7
family-1,process_orders,solo,forbidden,clean,4,10,28.5,4.6,4.3,37.4,3359.4,1288.8,1.068095238095238,0,2.7,0.8,0.2,0.8,0,2.8,2.4,1.15,0.05,2.95,2.675,1.7333333333333332,1.0,2.5166666666666666,3.9,3.8,3.6
family-1,process_orders,solo,forbidden,clean,8,10,87.4,9.0,16.1,112.5,6690.1,4906.4,1.8477242202242201,0,6.6,1.1,1.0,0.9418910256410257,0,4.1,3.6375,2.0125,0.075,6.863571428571428,6.275,4.394047619047619,2.0,6.196428571428571,4.8,4.8,4.7
family-1,process_orders,solo,forbidden,overlapping,2,10,4.4,3.4,2.3,10.1,697.2,454.5,0.6821428571428572,0,1.5,0.5,0.5,0.5,0,0.9,0.9,0.4,0.0,1.0,1.0,1.0,nan,1.0,1.8,1.8,1.8
family-1,process_orders,solo,forbidden,overlapping,4,10,31.2,4.6,4.9,40.7,4067.0,1207.0,1.059047619047619,0,2.9,0.9,0.1,0.9,0,2.725,2.4,1.05,0.15,2.941666666666667,2.725,1.898148148148148,2.0,2.583333333333333,3.9,3.7,3.5
family-1,process_orders,solo,forbidden,overlapping,8,10,90.4,7.0,13.1,110.5,6879.0,4391.9,1.799426807760141,1,6.333333333333333,1.1,0.7,0.9433333333333334,0,4.2125,3.375,1.875,0.275,6.690714285714286,5.632142857142857,3.525,1.9761904761904763,5.348809523809524,5.2,5.0,4.7
family-1,process_orders,solo,forbidden,conflicting,2,10,5.6,4.5,2.7,12.8,1162.6,889.6,0.6254761904761905,0,1.5,0.5,0.5,0.5,0,0.95,0.95,0.55,0.05,1.0,1.0,1.0,1.0,1.0,1.9,1.9,1.9
family-1,process_orders,solo,forbidden,conflicting,4,10,34.7,8.2,8.0,50.9,4428.3,2613.5,0.9242857142857144,0,3.2,1.0,0.2,0.975,0,2.8,2.675,1.95,0.2,2.875,2.7333333333333334,2.4833333333333334,1.0833333333333333,2.7333333333333334,3.9,3.9,3.9
family-1,process_orders,solo,forbidden,conflicting,8,10,104.2,7.3,17.1,128.6,8172.0,5432.1,2.796666666666667,0,6.7,1.1,2.3,0.871388326585695,0,4.7125,3.775,2.45,0.45,6.849047619047619,5.908571428571429,4.365,1.9642857142857142,5.602380952380953,5.9,5.5,5.2
family-1,process_orders,solo,allowed,clean,2,10,4.1,2.8,1.2,8.1,870.2,243.7,0.425,0,0.8,0.1,0.8,0.1111111111111111,1,1.0,0.9,0.1,0.0,1.0,1.0,1.0,nan,0.9,2.0,2.0,1.8
