run_id,family,instance,agent_count,topology,artefact_policy,success,centr_canonical+alias,centr_canonical_only,centr_all_target_kinds
family-1-process_orders-clean-a1-orchestrator-allowed-r01,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r02,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r03,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r04,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r05,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r06,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r07,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r08,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r09,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-allowed-r10,family-1,process_orders/clean,1,orchestrator,allowed,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r02,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r03,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r04,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r05,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r06,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r07,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r08,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r09,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-orchestrator-forbidden-r10,family-1,process_orders/clean,1,orchestrator,forbidden,True,,,
family-1-process_orders-clean-a1-solo-allowed-r01,family-1,process_orders/clean,1,solo,allowed,True,,,
family-1-process_orders-clean-a1-solo-allowed-r02,family-1,process_orders/clean,1,solo,allowed,True,,,
family-1-process_orders-clean-a1-solo-allowed-r03,family-1,process_orders/clean,1,solo,allowed,True,,,
