run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T06:27:15.451Z,168.0,126,86e8a2f2-0cf9-4f21-b393-906a48cde75c,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T06:27:15.641Z,106.0,126,0f8b87d9-aef5-4fe2-bab5-6a94b09d8aee,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:27:18.805Z,106.0,126,3c52ff5a-2641-458c-81b4-7cfe1c677229,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-2,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:27:42.109Z,1761.0,2254,7aff6192-86b4-4a3e-a075-81d80a0671d4,Write
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:27:45.973Z,1493.0,1664,15269aa5-7f56-48bc-8479-2b329338d2f8,Write
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:27:48.175Z,106.0,2464,289ad6df-def4-417d-9217-cddf87d8551d,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:27:56.985Z,2118.0,845,ac5e3f62-427d-417b-a067-a87bc7cff1a2,Write
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:27:59.605Z,106.0,2464,2b058036-074f-4c16-8bc5-b00c9452385c,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:28:02.227Z,1016.0,1843,9636480f-2f1a-48bd-a750-d0cff9d5be0c,Write
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:28:26.705Z,1868.0,1232,43328252-f6d7-4bbb-95af-68a03d30d5d8,Edit
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:28:30.029Z,159.0,2023,f5fbca57-4f18-4add-887d-849c147e0ae5,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:28:42.351Z,733.0,47,e475c0de-a366-433d-baee-8df33d074010,Edit
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:28:51.115Z,275.0,264,19e021e9-9bd7-4d39-aa2e-d17d11ada74b,Edit
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:28:53.876Z,117.0,2127,322c6bc3-d48d-4d70-b13d-9e12046a322a,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T06:28:57.949Z,520.0,2127,c937b83f-0b91-44de-bd60-cc10b0e8546a,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:29:19.188Z,823.0,332,20bb738e-62f3-495d-9664-6dd43ddfd0dd,Edit
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T06:29:59.974Z,106.0,2318,1759f4ef-64e0-47d0-aaf0-c9d02a027462,Read
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T06:27:29.626191+00:00,139.0,555,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T06:27:31.055316+00:00,139.0,555,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-23T06:27:36.074560+00:00,141.0,564,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T06:29:24.209614+00:00,118.0,470,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T06:29:25.800445+00:00,118.0,470,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-23T06:29:26.752703+00:00,118.0,470,,send_message
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:31:10.493Z,106.0,126,102fcb4b-8b24-47c0-b4d7-14a0370686f5,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T06:31:13.706Z,106.0,126,1eb25d6f-aa64-4dcb-a6c6-c44ab8c40045,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:31:15.023Z,139.0,126,15b6d303-4c98-4486-be97-69be9539dd47,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-3,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:31:35.708Z,1506.0,1208,1e12c346-fe93-4485-ae2c-fd1148fdda93,Write
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:31:36.820Z,1803.0,1221,052f639a-4ba4-4f75-a3bd-2bf8f560d473,Write
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:31:39.877Z,1483.0,1018,fdd9418b-33ed-4429-9006-242a9f7a1959,Write
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:31:41.624Z,106.0,1347,5591e12e-0066-4c42-8059-61dc28b8dd33,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T06:31:48.719Z,106.0,1347,449441cc-326c-485c-8fdb-f685d53e56af,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-2,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:31:58.217Z,1624.0,1182,35a658a3-9a27-4c89-b6a1-02fd9ff7a110,Write
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-3,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:31:58.218Z,670.0,464,57745c3a-a7f0-4149-b97e-c48b1310263a,Edit
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:32:00.058Z,1014.0,159,c3f6a7ba-c606-4daa-8bdd-943cc190a519,Edit
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T06:32:01.328Z,106.0,1687,d141448f-2ed3-4e38-8bd6-73b4d4338afa,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:32:02.350Z,106.0,1687,5ff340d3-2665-46f8-a4dd-03b4f4be89ec,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-2,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:32:10.529Z,585.0,517,d86d6bb5-7aec-4db8-a793-c9b47e3a12dd,Edit
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:32:18.395Z,1096.0,739,09eb16ad-b26c-40ad-8bd0-2f60cfd07ec1,Edit
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:32:20.542Z,106.0,2107,9f7beeec-fef0-416e-853c-c1c464f2ec22,Read
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:32:31.248Z,830.0,739,7bb7a51d-5583-4377-9cb5-87e2958036ac,Edit
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:32:33.919Z,121.0,2158,950de65b-3b05-4601-9829-e59da066ea57,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:32:48.575Z,165.0,126,6c9378ec-c004-4ed8-b4c2-9a857ff74988,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T06:32:49.106Z,167.0,126,13b7b99f-b292-422f-bfef-b89b24fc1887,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T06:32:54.278Z,167.0,126,09065fb3-538e-4439-b974-9dec06dba128,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:32:56.138Z,163.0,126,bb09815d-1f0d-431c-a57b-8167af3ecf15,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-3,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:33:28.181Z,1721.0,1002,f35c5a1a-4402-4aae-8987-2b5398b3947f,Write
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T06:34:26.827Z,229.0,1086,0a78d10e-b960-4132-a7a3-fa19ad18a4b2,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:34:55.182Z,502.0,1327,8107af90-a38a-4966-9d19-ffb5e4ed0b64,Write
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:34:57.620Z,106.0,1086,6471b39c-8b7b-4821-8135-34f35b20723c,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-2,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:35:12.679Z,546.0,1564,05654f2c-b705-43ef-9db2-75b148116a1a,Write
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:35:19.490Z,501.0,1326,7fc4cada-1ab6-459a-b5a4-9c22f4dfa4fc,Write
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:35:22.671Z,106.0,1717,92ddb39f-6643-4ba0-8303-4124b96f50a6,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:35:51.997Z,576.0,1553,cf3bdbad-8bc9-4df9-a830-e26602f3ec77,Write
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:35:53.866Z,106.0,1717,f35d9978-a2cf-4bfe-a819-4b7b71d5137d,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:36:00.236Z,230.0,191,d673761b-df81-4cc5-ac4a-d677946079eb,Edit
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:36:02.849Z,179.0,86,56956076-1540-490a-92c0-478636db1b0c,Edit
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:36:05.416Z,190.0,52,c763fcf2-8c5f-4e79-8115-ed058e8ffb0b,Edit
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:36:08.101Z,211.0,98,61534afe-0792-4571-9f99-e33d8e27fe8a,Edit
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T06:36:10.631Z,119.0,1863,178b87dd-3779-4598-af98-493912d64019,Read
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-4,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T06:36:48.642Z,2563.0,165,a44d983b-7017-46c9-b4f4-ce8f2bf35f2f,Edit
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,agent-4,file,agent,file_to_agent,read,2026-05-23T06:36:50.978Z,106.0,1863,6b734eb8-4d3b-49e2-a204-15c977a99708,Read
