run_id,node_id,node_type,label
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-2,agent,agent-2
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-3,agent,agent-3
family-1-process_orders-clean-a4-peer-forbidden-r01,agent-4,agent,agent-4
family-1-process_orders-clean-a4-peer-forbidden-r01,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-2,agent,agent-2
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-3,agent,agent-3
family-1-process_orders-clean-a4-peer-forbidden-r02,agent-4,agent,agent-4
family-1-process_orders-clean-a4-peer-forbidden-r02,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-2,agent,agent-2
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-3,agent,agent-3
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-4,agent,agent-4
family-1-process_orders-clean-a4-peer-forbidden-r03,<repo>/data/family-1-ablation/runs/family-1-process_orders-clean-a4-peer-forbidden-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-peer-forbidden-r03,agent-0,agent,agent-0
