run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-1-process_orders-clean-a1-orchestrator-allowed-r01,family-1,process_orders,clean,1,orchestrator,allowed,1,ok,True,22,0,0,27.056,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r01,2026-05-23T09:14:38.500106+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r02,family-1,process_orders,clean,1,orchestrator,allowed,2,ok,True,22,0,0,21.211,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r02,2026-05-23T09:15:00.120145+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r03,family-1,process_orders,clean,1,orchestrator,allowed,3,ok,True,22,0,0,21.473,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r03,2026-05-23T09:15:21.989205+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r04,family-1,process_orders,clean,1,orchestrator,allowed,4,ok,True,22,0,0,15.94,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r04,2026-05-23T09:15:38.295418+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r05,family-1,process_orders,clean,1,orchestrator,allowed,5,ok,True,22,0,0,19.958,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r05,2026-05-23T09:15:58.642086+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r06,family-1,process_orders,clean,1,orchestrator,allowed,6,ok,True,22,0,0,25.541,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r06,2026-05-23T09:16:24.541236+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r07,family-1,process_orders,clean,1,orchestrator,allowed,7,ok,True,22,0,0,20.438,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r07,2026-05-23T09:16:45.349897+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r08,family-1,process_orders,clean,1,orchestrator,allowed,8,ok,True,22,0,0,18.561,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r08,2026-05-23T09:17:04.281909+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r09,family-1,process_orders,clean,1,orchestrator,allowed,9,ok,True,22,0,0,24.748,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r09,2026-05-23T09:17:29.395642+00:00
family-1-process_orders-clean-a1-orchestrator-allowed-r10,family-1,process_orders,clean,1,orchestrator,allowed,10,ok,True,22,0,0,21.682,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r10,2026-05-23T09:17:51.464606+00:00
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,family-1,process_orders,clean,1,orchestrator,forbidden,1,ok,True,22,0,0,21.113,,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r01,2026-05-23T09:10:54.230524+00:00
