run_id,node_id,node_type,label
family-1-process_orders-clean-a1-orchestrator-allowed-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r02,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r03,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r04,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r04,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r04/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r05,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r05,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r05/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r06,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r06,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r06/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r07,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r07,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r07/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r08,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r08,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r08/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r09,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r09,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r09/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-allowed-r10,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-allowed-r10,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-allowed-r10/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r02,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r03,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r04,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r04,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r04/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r05,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r05,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r05/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r06,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r06,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r06/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r07,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r07,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r07/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r08,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r08,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r08/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r09,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r09,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r09/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-orchestrator-forbidden-r10,agent-1,agent,agent-1
family-1-process_orders-clean-a1-orchestrator-forbidden-r10,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-orchestrator-forbidden-r10/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r02,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r03,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r04,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r04,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r04/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r05,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r05,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r05/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r06,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r06,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r06/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r07,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r07,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r07/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r08,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r08,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r08/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r09,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r09,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r09/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-allowed-r10,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-allowed-r10,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-allowed-r10/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r02,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r03,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r04,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r04,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r04/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r05,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r05,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r05/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r06,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r06,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r06/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r07,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r07,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r07/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r08,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r08,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r08/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r09,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r09,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r09/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a1-solo-forbidden-r10,agent-1,agent,agent-1
family-1-process_orders-clean-a1-solo-forbidden-r10,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a1-solo-forbidden-r10/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r01,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r01/verifier/verifier.py,file,verifier.py
family-1-process_orders-clean-a2-orchestrator-allowed-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r01/spec.json,file,spec.json
family-1-process_orders-clean-a2-orchestrator-allowed-r01,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r02,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r02,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r03,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r03,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r04,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r04,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r04,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r04/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r05,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r05,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r05,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r05/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r05,a1,agent,a1
family-1-process_orders-clean-a2-orchestrator-allowed-r06,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r06,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r06,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r06/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-orchestrator-allowed-r06,orchestrator,agent,orchestrator
family-1-process_orders-clean-a2-orchestrator-allowed-r06,a1,agent,a1
family-1-process_orders-clean-a2-orchestrator-allowed-r07,agent-1,agent,agent-1
family-1-process_orders-clean-a2-orchestrator-allowed-r07,agent-2,agent,agent-2
family-1-process_orders-clean-a2-orchestrator-allowed-r07,<repo>/data/family-1-full/runs/family-1-process_orders-clean-a2-orchestrator-allowed-r01/workspace/solution.py,file,solution.py
