run_id,agent_count,topology,artefact_policy,pattern,task,workspace_file_count
family-1-process_orders-clean-a1-orchestrator-allowed-r01,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r02,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r03,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r04,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r05,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r06,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r07,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r08,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r09,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-allowed-r10,1,orchestrator,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r01,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r02,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r03,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r04,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r05,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r06,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r07,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r08,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r09,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-orchestrator-forbidden-r10,1,orchestrator,forbidden,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r01,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r02,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r03,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r04,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r05,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r06,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r07,1,solo,allowed,clean,process_orders,1
family-1-process_orders-clean-a1-solo-allowed-r08,1,solo,allowed,clean,process_orders,1
