run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool
family-1-process_orders-clean-a2-peer-allowed-r01,agent-1,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent,file,agent_to_file,create,2026-05-23T05:01:57.245Z,549.0,1548,899d0671-5413-4e82-81bb-0f4b16e6b6e1,Write
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T05:02:08.335Z,948.0,2247,47627893-db2e-44d3-9125-1e4c4f767122,Write
family-1-process_orders-clean-a2-peer-allowed-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T05:02:16.957Z,105.0,1719,446a1105-d0e4-4f38-b514-070af2c8afae,Read
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T05:02:28.577Z,654.0,50,73bea35f-a88e-42c7-9599-ba28e465d7fa,Edit
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T05:02:32.676Z,277.0,342,03a4e8df-d797-47d0-bd36-2d1020482dc0,Edit
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T05:02:40.049Z,273.0,262,40dfb61e-6213-4a48-9ee3-e647e7d05b0f,Edit
family-1-process_orders-clean-a2-peer-allowed-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T05:02:43.016Z,116.0,2110,7963ab66-204d-4580-b7a8-2b6bc409bb9a,Read
family-1-process_orders-clean-a2-peer-allowed-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,agent-1,file,agent,file_to_agent,read,2026-05-23T05:06:55.594Z,492.0,2110,e268bace-f1ca-46e3-81e7-4b08cf713e0b,Read
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,agent2,agent,agent,agent_to_agent,message,2026-05-23T05:01:32.773367+00:00,290.0,1162,,send_message
family-1-process_orders-clean-a2-peer-allowed-r01,agent-1,agent2,agent,agent,agent_to_agent,message,2026-05-23T05:01:37.659425+00:00,175.0,705,,send_message
