run_id,node_id,node_type,label
family-1-process_orders-clean-a2-peer-allowed-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a2-peer-allowed-r01,agent-2,agent,agent-2
family-1-process_orders-clean-a2-peer-allowed-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-peer-allowed-r01,agent2,agent,agent2
family-1-process_orders-clean-a2-peer-allowed-r01,agent1,agent,agent1
family-1-process_orders-clean-a2-peer-allowed-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a2-peer-allowed-r02,agent-2,agent,agent-2
family-1-process_orders-clean-a2-peer-allowed-r02,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-peer-allowed-r02,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r02/verifier/verifier.py,file,verifier.py
family-1-process_orders-clean-a2-peer-allowed-r02,agent2,agent,agent2
family-1-process_orders-clean-a2-peer-allowed-r02,agent1,agent,agent1
family-1-process_orders-clean-a2-peer-allowed-r02,agent_2,agent,agent_2
family-1-process_orders-clean-a2-peer-allowed-r02,peer,agent,peer
family-1-process_orders-clean-a2-peer-allowed-r02,assistant,agent,assistant
family-1-process_orders-clean-a2-peer-allowed-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a2-peer-allowed-r03,agent-2,agent,agent-2
family-1-process_orders-clean-a2-peer-allowed-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a2-peer-allowed-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a2-peer-allowed-r03,agent2,agent,agent2
family-1-process_orders-clean-a2-peer-allowed-r03,peer,agent,peer
family-1-process_orders-clean-a2-peer-allowed-r03,agent1,agent,agent1
family-1-process_orders-clean-a2-peer-allowed-r03,agent_b,agent,agent_b
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-allowed-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent1,agent,agent1
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent2,agent,agent2
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent3,agent,agent3
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent4,agent,agent4
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent_2,agent,agent_2
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent_3,agent,agent_3
family-1-process_orders-clean-a4-orchestrator-allowed-r01,agent_4,agent,agent_4
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-allowed-r02,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent1,agent,agent1
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent2,agent,agent2
family-1-process_orders-clean-a4-orchestrator-allowed-r02,agent3,agent,agent3
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-allowed-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-allowed-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent1,agent,agent1
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent2,agent,agent2
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent3,agent,agent3
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent4,agent,agent4
family-1-process_orders-clean-a4-orchestrator-allowed-r03,agent0,agent,agent0
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent2,agent,agent2
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent3,agent,agent3
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent4,agent,agent4
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent1,agent,agent1
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r02/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent1,agent,agent1
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent2,agent,agent2
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,agent3,agent,agent3
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-1,agent,agent-1
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-2,agent,agent-2
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-3,agent,agent-3
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,agent-4,agent,agent-4
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<home>/.claude/projects/-repo-data-family-1-pilot-runs-family-1-process_orders-clean-a4-orchestrator-forbidden-r03-workspace/memory/MEMORY.md,file,MEMORY.md
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/workspace/solution.py,file,solution.py
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/spec.json,file,spec.json
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/messages.jsonl,file,messages.jsonl
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/prompts/agent-2.txt,file,agent-2.txt
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,<repo>/data/family-1-pilot/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r03/prompts/agent-3.txt,file,agent-3.txt
