run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_file,n_file_to_agent
family-1-process_orders-clean-a2-peer-allowed-r01,family-1,process_orders/clean,2,peer,allowed,True,374.521,168,27781,5,13,4,1,5,5,3
family-1-process_orders-clean-a2-peer-allowed-r02,family-1,process_orders/clean,2,peer,allowed,True,249.738,145,60956,9,23,7,2,9,7,7
family-1-process_orders-clean-a2-peer-allowed-r03,family-1,process_orders/clean,2,peer,allowed,True,339.215,190,36164,7,14,6,1,9,2,3
family-1-process_orders-clean-a4-orchestrator-allowed-r01,family-1,process_orders/clean,4,orchestrator,allowed,True,182.991,267,96226,12,60,11,1,46,5,9
family-1-process_orders-clean-a4-orchestrator-allowed-r02,family-1,process_orders/clean,4,orchestrator,allowed,True,103.34,183,52548,8,30,7,1,26,1,3
family-1-process_orders-clean-a4-orchestrator-allowed-r03,family-1,process_orders/clean,4,orchestrator,allowed,False,350.738,453,79938,10,37,9,1,32,1,4
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,family-1,process_orders/clean,4,orchestrator,forbidden,True,165.376,181,63580,9,33,8,1,26,3,4
family-1-process_orders-clean-a4-orchestrator-forbidden-r02,family-1,process_orders/clean,4,orchestrator,forbidden,False,164.205,234,57705,8,37,7,1,28,4,5
family-1-process_orders-clean-a4-orchestrator-forbidden-r03,family-1,process_orders/clean,4,orchestrator,forbidden,False,185.806,133,57039,19,33,12,7,14,7,12
family-1-process_orders-clean-a4-orchestrator-mandatory-r01,family-1,process_orders/clean,4,orchestrator,mandatory,False,119.848,100,58766,9,23,4,5,0,10,13
family-1-process_orders-clean-a4-orchestrator-mandatory-r02,family-1,process_orders/clean,4,orchestrator,mandatory,False,84.403,99,51669,10,31,4,6,0,11,20
family-1-process_orders-clean-a4-orchestrator-mandatory-r03,family-1,process_orders/clean,4,orchestrator,mandatory,True,139.266,127,65544,10,32,4,6,6,9,17
family-1-process_orders-clean-a4-peer-allowed-r01,family-1,process_orders/clean,4,peer,allowed,False,201.232,207,91113,8,37,7,1,31,3,3
family-1-process_orders-clean-a4-peer-allowed-r02,family-1,process_orders/clean,4,peer,allowed,True,166.994,242,105699,9,57,8,1,32,15,10
family-1-process_orders-clean-a4-peer-allowed-r03,family-1,process_orders/clean,4,peer,allowed,True,159.337,241,80654,12,41,11,1,36,2,3
family-1-process_orders-clean-a4-peer-forbidden-r01,family-1,process_orders/clean,4,peer,forbidden,True,180.461,164,85847,11,39,10,1,18,9,12
family-1-process_orders-clean-a4-peer-forbidden-r02,family-1,process_orders/clean,4,peer,forbidden,True,151.545,100,52314,9,18,8,1,4,8,6
family-1-process_orders-clean-a4-peer-forbidden-r03,family-1,process_orders/clean,4,peer,forbidden,True,104.078,101,51570,10,15,7,3,3,6,6
family-1-process_orders-clean-a4-peer-mandatory-r01,family-1,process_orders/clean,4,peer,mandatory,False,104.502,109,57351,9,31,4,5,0,12,19
family-1-process_orders-clean-a4-peer-mandatory-r02,family-1,process_orders/clean,4,peer,mandatory,True,102.378,115,58111,9,37,4,5,0,15,22
