run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,create,2026-05-23T08:41:11.074Z,2204.0,1688,3840b9e8-1217-4a8c-a546-ddeeaab4d457,Write
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01/workspace/solution.py,agent,file,agent_to_file,edit,2026-05-23T08:41:28.599Z,609.0,1793,e66e42ea-6ce2-4a7d-85c7-578fe155e6fc,Write
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01/workspace/solution.py,agent-2,file,agent,file_to_agent,read,2026-05-23T08:41:34.552Z,153.0,1829,e10eba31-9cea-42ea-a4cd-8c76e2b61214,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,<repo>/data/family-1-spec-check/runs/family-1-process_orders-clean-a4-orchestrator-forbidden-r01/workspace/solution.py,agent-3,file,agent,file_to_agent,read,2026-05-23T08:41:35.682Z,567.0,1829,59ead1b5-fabd-405b-a2da-7398f5849a0c,Read
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:40:02.550999+00:00,66.0,266,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:40:03.553543+00:00,66.0,266,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:40:03.987772+00:00,66.0,266,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:40:06.143665+00:00,140.0,559,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:40:08.952978+00:00,140.0,559,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:40:12.542356+00:00,142.0,567,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,a1,agent,agent,agent_to_agent,message,2026-05-23T08:40:16.632033+00:00,124.0,497,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,a2,agent,agent,agent_to_agent,message,2026-05-23T08:40:18.288953+00:00,124.0,497,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,a3,agent,agent,agent_to_agent,message,2026-05-23T08:40:18.896095+00:00,124.0,497,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:40:20.133386+00:00,130.0,519,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:40:29.655133+00:00,187.0,748,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:40:41.246679+00:00,248.0,991,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:40:41.774296+00:00,62.0,249,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:40:44.722427+00:00,138.0,552,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-2,agent,agent,agent_to_agent,message,2026-05-23T08:41:16.989205+00:00,173.0,697,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-3,agent,agent,agent_to_agent,message,2026-05-23T08:41:18.970301+00:00,173.0,697,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-2,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:41:19.546336+00:00,171.0,689,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-23T08:41:20.754601+00:00,173.0,697,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:41:23.516975+00:00,87.0,349,,send_message
family-1-process_orders-clean-a4-orchestrator-forbidden-r01,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-23T08:41:26.984004+00:00,59.0,243,,send_message
