run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices/clean,4,peer,allowed,True,146.348,221,87239,14,51,5,9,14,6,10,27
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices/clean,4,peer,allowed,True,191.331,197,73146,20,43,5,15,21,19,9,13
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices/clean,4,peer,allowed,True,225.392,226,87816,14,38,5,9,22,18,9,7
family-2-compute_invoices-clean-a4-peer-allowed-r04,family-2,compute_invoices/clean,4,peer,allowed,True,200.483,264,112139,14,43,5,9,23,21,11,9
family-2-compute_invoices-clean-a4-peer-allowed-r05,family-2,compute_invoices/clean,4,peer,allowed,True,220.716,336,88395,15,47,5,10,15,11,10,22
family-2-compute_invoices-clean-a4-peer-allowed-r06,family-2,compute_invoices/clean,4,peer,allowed,True,162.039,202,86272,15,40,5,10,15,14,10,15
family-2-compute_invoices-clean-a4-peer-allowed-r07,family-2,compute_invoices/clean,4,peer,allowed,True,173.894,225,109169,17,44,5,12,24,23,10,10
family-2-compute_invoices-clean-a4-peer-allowed-r08,family-2,compute_invoices/clean,4,peer,allowed,True,164.973,274,82309,14,32,5,9,17,13,11,4
family-2-compute_invoices-clean-a4-peer-allowed-r09,family-2,compute_invoices/clean,4,peer,allowed,True,153.713,397,68361,14,45,5,9,9,0,10,26
family-2-compute_invoices-clean-a4-peer-allowed-r10,family-2,compute_invoices/clean,4,peer,allowed,True,200.306,373,92895,15,39,5,10,20,18,10,9
family-2-summarise_transactions-clean-a1-orchestrator-allowed-r01,family-2,summarise_transactions/clean,1,orchestrator,allowed,True,40.689,15,4017,6,5,1,5,0,0,5,0
