run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices,clean,4,peer,allowed,1,ok,True,31,0,0,183.405,,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01,2026-05-29T10:22:27.582202+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices,clean,4,peer,allowed,2,ok,True,31,0,0,195.069,,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02,2026-05-29T10:25:43.040369+00:00
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices,clean,4,peer,allowed,3,ok,True,31,0,0,222.705,,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r03,2026-05-29T10:29:26.163912+00:00
family-2-summarise_transactions-clean-a2-peer-allowed-r01,family-2,summarise_transactions,clean,2,peer,allowed,1,error,False,0,0,0,900.058,agent-2 timed out,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a2-peer-allowed-r01,2026-05-29T09:43:17.936727+00:00
family-2-summarise_transactions-clean-a2-peer-allowed-r02,family-2,summarise_transactions,clean,2,peer,allowed,2,ok,True,25,0,0,682.731,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a2-peer-allowed-r02,2026-05-29T09:54:41.084993+00:00
family-2-summarise_transactions-clean-a2-peer-allowed-r03,family-2,summarise_transactions,clean,2,peer,allowed,3,ok,False,15,10,0,89.793,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a2-peer-allowed-r03,2026-05-29T09:56:11.330035+00:00
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r01,family-2,summarise_transactions,clean,4,orchestrator,allowed,1,ok,True,25,0,0,155.336,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a4-orchestrator-allowed-r01,2026-05-29T08:34:08.903102+00:00
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r02,family-2,summarise_transactions,clean,4,orchestrator,allowed,2,ok,True,25,0,0,397.732,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a4-orchestrator-allowed-r02,2026-05-29T08:40:47.050249+00:00
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r03,family-2,summarise_transactions,clean,4,orchestrator,allowed,3,ok,True,25,0,0,120.327,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a4-orchestrator-allowed-r03,2026-05-29T08:42:47.824697+00:00
family-2-summarise_transactions-clean-a4-orchestrator-forbidden-r01,family-2,summarise_transactions,clean,4,orchestrator,forbidden,1,ok,True,25,0,0,131.067,,<repo>/data/family-2-pilot/runs/family-2-summarise_transactions-clean-a4-orchestrator-forbidden-r01,2026-05-29T08:26:58.367765+00:00
