run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool,target_kind
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_line_totals.py,agent,file,agent_to_file,create,2026-05-29T10:20:00.347Z,447.0,253,6b0f977e-6020-4172-9a9d-54e21a8ef5d8,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-2,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/resolve_customer.py,agent,file,agent_to_file,create,2026-05-29T10:20:00.907Z,391.0,430,59c15eea-45e8-4e3f-b208-d199bc8a164f,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-2,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/resolve_product.py,agent,file,agent_to_file,create,2026-05-29T10:20:04.214Z,235.0,432,06748333-669b-4653-b1d7-c3b31f3aad2b,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-1,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/parse.py,agent,file,agent_to_file,create,2026-05-29T10:20:04.457Z,1574.0,1504,804fc410-2bc1-4b7d-bfc2-4155fe39b9bd,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/apply_discount.py,agent,file,agent_to_file,create,2026-05-29T10:20:04.458Z,280.0,477,66f655cb-73aa-4c52-8d5b-24293b88fcb1,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-1,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/validate.py,agent,file,agent_to_file,create,2026-05-29T10:20:08.385Z,221.0,353,eb15138e-db67-4cad-863b-9033ef5d33c9,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent,file,agent_to_file,create,2026-05-29T10:20:12.707Z,2317.0,349,c5a30a42-5db8-4414-853f-b2e74d508941,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/format_invoices.py,agent,file,agent_to_file,create,2026-05-29T10:20:14.929Z,2317.0,596,59354f86-57b9-4ac5-a126-31d8c8be979b,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/resolve_product.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:26.070Z,310.0,465,22592991-abae-47ae-bb24-6a5f02915a6a,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:27.055Z,310.0,370,33b0d02e-6e65-44cd-9a48-e1fa13a75d84,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/format_invoices.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:27.350Z,310.0,629,cf1f6bd4-f0d2-40dc-ac15-2c1d096c083f,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/parse.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:32.044Z,435.0,1642,24ed7f80-594b-4e56-baf7-d6e3eb604a19,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/resolve_customer.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:33.047Z,435.0,463,57f6a798-6f6f-45fe-8af0-ea8faccdfd8b,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/validate.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:20:33.288Z,435.0,380,0b18a5bf-2191-4957-b3a5-5f2f8fcca721,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:20:48.228Z,887.0,370,07e622b4-c385-4178-8f0f-f7547ff5a283,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/format_invoices.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:20:48.421Z,887.0,629,e8895ab9-d3ee-4a5f-bb63-7b40b543fd57,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent,file,agent_to_file,edit,2026-05-29T10:21:34.189Z,666.0,66,af3ec8a4-d7d5-4249-99e5-323943f80da0,Edit,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/pipeline.py,agent,file,agent_to_file,create,2026-05-29T10:21:46.919Z,1139.0,732,fe9b1cfa-8ea7-4003-a122-54215ea25aa3,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/apply_discount.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:21:54.379Z,323.0,522,ff35d7e2-f18f-4d92-818c-48138dea4020,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/resolve_product.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:21:55.073Z,323.0,465,449a0ecf-1bfb-4a04-a085-a718007bfa7d,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent-3,file,agent,file_to_agent,read,2026-05-29T10:21:57.954Z,137.0,378,2cf067db-b58f-4d90-af04-22bb27822f16,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/pipeline.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:22:13.660Z,126.0,783,b3bb262b-73d4-45aa-88b9-b7be8a97e83f,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/compute_tax.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:22:20.185Z,448.0,378,557f73b5-c3b5-4b3d-963b-f88b1eb38b4b,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r01/workspace/format_invoices.py,agent-4,file,agent,file_to_agent,read,2026-05-29T10:22:20.803Z,448.0,629,7886eead-d71f-49c9-8871-b2c2554fc7ab,Read,
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-2,*,agent,agent,agent_to_agent,message,2026-05-29T10:19:52.137554+00:00,364.0,1455,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,*,agent,agent,agent_to_agent,message,2026-05-29T10:19:52.638159+00:00,332.0,1341,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,agent-1,agent,agent,agent_to_agent,message,2026-05-29T10:20:13.637006+00:00,53.0,211,,send_message,alias
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-2,*,agent,agent,agent_to_agent,message,2026-05-29T10:20:15.466057+00:00,351.0,1404,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,agent-3,agent,agent,agent_to_agent,message,2026-05-29T10:20:15.534782+00:00,63.0,251,,send_message,alias
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-29T10:20:16.229025+00:00,63.0,251,,send_message,alias
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-1,*,agent,agent,agent_to_agent,message,2026-05-29T10:20:19.200322+00:00,297.0,1192,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-29T10:20:22.621408+00:00,221.0,891,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,agent-2,agent,agent,agent_to_agent,message,2026-05-29T10:20:26.569487+00:00,221.0,891,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,agent-3,agent,agent,agent_to_agent,message,2026-05-29T10:20:30.909505+00:00,221.0,891,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-1,agent-4,agent,agent,agent_to_agent,message,2026-05-29T10:20:52.837051+00:00,354.0,1420,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,*,agent,agent,agent_to_agent,message,2026-05-29T10:20:58.716456+00:00,454.0,1835,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-1,*,agent,agent,agent_to_agent,message,2026-05-29T10:20:59.574160+00:00,182.0,730,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,agent-4,agent,agent,agent_to_agent,message,2026-05-29T10:21:19.527085+00:00,314.0,1275,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,agent-3,agent,agent,agent_to_agent,message,2026-05-29T10:21:40.199055+00:00,167.0,691,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-4,agent-1,agent,agent,agent_to_agent,message,2026-05-29T10:21:41.466861+00:00,80.0,334,,send_message,canonical
family-2-compute_invoices-clean-a4-peer-allowed-r01,agent-3,*,agent,agent,agent_to_agent,message,2026-05-29T10:21:53.085766+00:00,156.0,644,,send_message,broadcast
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-1,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/parse.py,agent,file,agent_to_file,create,2026-05-29T10:23:00.529Z,542.0,1554,52bede3c-0e0b-4812-9738-3379f7229032,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-2,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/resolve_customer.py,agent,file,agent_to_file,create,2026-05-29T10:23:03.560Z,1195.0,430,50352365-e8bc-4f1f-9015-bb4fdafca862,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-3,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/compute_line_totals.py,agent,file,agent_to_file,create,2026-05-29T10:23:03.786Z,423.0,267,94292cdb-8aed-4348-88a8-565ba992d924,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-1,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/validate.py,agent,file,agent_to_file,create,2026-05-29T10:23:04.158Z,232.0,395,416779d2-8582-4da7-8c28-e0fa69280194,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-2,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/resolve_product.py,agent,file,agent_to_file,create,2026-05-29T10:23:05.276Z,1195.0,432,bc51522f-112d-4709-9d60-d1b451b87d32,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-4,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/compute_tax.py,agent,file,agent_to_file,create,2026-05-29T10:23:07.726Z,512.0,325,6bfd06dc-1d86-4ca9-8c7b-30a3b2c72331,Write,
family-2-compute_invoices-clean-a4-peer-allowed-r02,agent-3,<repo>/data/family-2-pilot/runs/family-2-compute_invoices-clean-a4-peer-allowed-r02/workspace/apply_discount.py,agent,file,agent_to_file,create,2026-05-29T10:23:07.763Z,280.0,479,5cd03b20-7c38-48d0-8dfc-540df9f4d9b0,Write,
