run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-2-compute_invoices-clean-a4-peer-allowed-r01,family-2,compute_invoices/clean,4,peer,allowed,True,178.928,278,69306,14,41,5,9,17,10,10,14
family-2-compute_invoices-clean-a4-peer-allowed-r02,family-2,compute_invoices/clean,4,peer,allowed,True,190.365,272,82877,14,40,5,9,18,13,11,11
family-2-compute_invoices-clean-a4-peer-allowed-r03,family-2,compute_invoices/clean,4,peer,allowed,True,218.859,242,82644,14,43,5,9,16,9,12,15
family-2-summarise_transactions-clean-a2-peer-allowed-r02,family-2,summarise_transactions/clean,2,peer,allowed,True,678.718,124,45686,8,14,3,5,4,1,7,3
family-2-summarise_transactions-clean-a2-peer-allowed-r03,family-2,summarise_transactions/clean,2,peer,allowed,False,85.627,69,18993,8,9,3,5,4,3,5,0
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r01,family-2,summarise_transactions/clean,4,orchestrator,allowed,True,151.687,249,57707,10,34,5,5,12,9,7,15
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r02,family-2,summarise_transactions/clean,4,orchestrator,allowed,True,393.927,338,52397,10,32,5,5,10,3,6,16
family-2-summarise_transactions-clean-a4-orchestrator-allowed-r03,family-2,summarise_transactions/clean,4,orchestrator,allowed,True,115.372,176,62508,10,28,5,5,20,19,6,2
family-2-summarise_transactions-clean-a4-orchestrator-forbidden-r01,family-2,summarise_transactions/clean,4,orchestrator,forbidden,True,126.009,226,47587,10,23,5,5,17,14,6,0
family-2-summarise_transactions-clean-a4-orchestrator-forbidden-r02,family-2,summarise_transactions/clean,4,orchestrator,forbidden,True,112.501,232,61827,13,27,8,5,18,14,6,3
family-2-summarise_transactions-clean-a4-orchestrator-forbidden-r03,family-2,summarise_transactions/clean,4,orchestrator,forbidden,True,152.208,280,72973,10,38,5,5,21,16,8,9
family-2-summarise_transactions-clean-a4-orchestrator-mandatory-r01,family-2,summarise_transactions/clean,4,orchestrator,mandatory,True,160.396,237,81754,14,52,7,7,21,15,15,16
family-2-summarise_transactions-clean-a4-orchestrator-mandatory-r02,family-2,summarise_transactions/clean,4,orchestrator,mandatory,True,160.762,263,80225,16,50,6,10,14,9,19,17
family-2-summarise_transactions-clean-a4-orchestrator-mandatory-r03,family-2,summarise_transactions/clean,4,orchestrator,mandatory,True,182.451,309,77363,13,51,5,8,18,14,17,16
family-2-summarise_transactions-clean-a4-peer-allowed-r01,family-2,summarise_transactions/clean,4,peer,allowed,True,151.932,250,98986,10,55,5,5,28,24,10,17
family-2-summarise_transactions-clean-a4-peer-allowed-r02,family-2,summarise_transactions/clean,4,peer,allowed,True,163.457,221,60877,10,30,5,5,8,0,9,13
family-2-summarise_transactions-clean-a4-peer-allowed-r03,family-2,summarise_transactions/clean,4,peer,allowed,True,96.101,163,37654,11,19,5,6,11,9,7,1
family-2-summarise_transactions-clean-a4-peer-forbidden-r01,family-2,summarise_transactions/clean,4,peer,forbidden,True,156.164,274,79882,16,49,11,5,37,26,8,4
family-2-summarise_transactions-clean-a4-peer-forbidden-r02,family-2,summarise_transactions/clean,4,peer,forbidden,True,155.097,336,85249,18,43,13,5,19,0,8,16
family-2-summarise_transactions-clean-a4-peer-forbidden-r03,family-2,summarise_transactions/clean,4,peer,forbidden,True,167.955,215,64168,15,38,10,5,14,0,8,16
family-2-summarise_transactions-clean-a4-peer-mandatory-r01,family-2,summarise_transactions/clean,4,peer,mandatory,True,191.898,273,85353,17,56,8,9,16,10,14,26
family-2-summarise_transactions-clean-a4-peer-mandatory-r02,family-2,summarise_transactions/clean,4,peer,mandatory,True,170.621,274,97696,12,68,5,7,23,21,23,22
family-2-summarise_transactions-clean-a4-peer-mandatory-r03,family-2,summarise_transactions/clean,4,peer,mandatory,True,176.538,231,90674,18,43,9,9,18,8,14,11
family-2-summarise_transactions-clean-a8-peer-allowed-r02,family-2,summarise_transactions/clean,8,peer,allowed,True,226.401,541,194771,14,102,9,5,72,66,8,22
family-2-summarise_transactions-clean-a8-peer-allowed-r03,family-2,summarise_transactions/clean,8,peer,allowed,True,254.137,679,237312,24,144,16,8,104,80,7,33
family-2-summarise_transactions-conflicting-a4-orchestrator-allowed-r01,family-2,summarise_transactions/conflicting,4,orchestrator,allowed,False,191.887,244,92385,12,50,5,7,21,18,10,19
family-2-summarise_transactions-conflicting-a4-orchestrator-allowed-r02,family-2,summarise_transactions/conflicting,4,orchestrator,allowed,False,184.996,213,82524,10,37,5,5,19,17,8,10
family-2-summarise_transactions-conflicting-a4-orchestrator-allowed-r03,family-2,summarise_transactions/conflicting,4,orchestrator,allowed,True,172.504,238,83890,15,48,10,5,21,6,10,17
family-2-summarise_transactions-conflicting-a4-peer-allowed-r01,family-2,summarise_transactions/conflicting,4,peer,allowed,True,159.758,265,45365,10,21,5,5,5,0,7,9
family-2-summarise_transactions-conflicting-a4-peer-allowed-r02,family-2,summarise_transactions/conflicting,4,peer,allowed,False,260.023,274,100144,10,62,5,5,24,18,13,25
