run_id,family,task_id,pattern,agent_count,topology,artefact_policy,replication,status,success,tests_passed,tests_failed,tests_errors,wall_time_s,error,run_dir,updated_at
family-2-process_billing-clean-a16-peer-allowed-r01,family-2,process_billing,clean,16,peer,allowed,1,ok,True,41,0,0,693.265,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01,2026-06-16T09:27:37.642574+00:00
family-2-process_billing-clean-a16-peer-allowed-r02,family-2,process_billing,clean,16,peer,allowed,2,ok,True,41,0,0,194.709,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r02,2026-06-16T09:52:20.292354+00:00
family-2-process_billing-clean-a16-peer-allowed-r03,family-2,process_billing,clean,16,peer,allowed,3,ok,True,41,0,0,173.726,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r03,2026-06-16T10:07:36.543508+00:00
family-2-process_billing-clean-a16-peer-allowed-r04,family-2,process_billing,clean,16,peer,allowed,4,ok,True,41,0,0,346.936,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r04,2026-06-16T11:21:43.046484+00:00
family-2-process_billing-clean-a16-peer-allowed-r05,family-2,process_billing,clean,16,peer,allowed,5,ok,True,41,0,0,256.945,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r05,2026-06-16T11:39:26.751551+00:00
family-2-process_billing-clean-a16-peer-allowed-r06,family-2,process_billing,clean,16,peer,allowed,6,ok,True,41,0,0,847.917,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r06,2026-06-16T12:06:15.355321+00:00
family-2-process_billing-clean-a16-peer-allowed-r07,family-2,process_billing,clean,16,peer,allowed,7,ok,True,41,0,0,315.054,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r07,2026-06-16T12:37:11.920377+00:00
family-2-process_billing-clean-a16-peer-allowed-r08,family-2,process_billing,clean,16,peer,allowed,8,ok,True,41,0,0,207.997,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r08,2026-06-16T12:53:32.000466+00:00
family-2-process_billing-clean-a16-peer-allowed-r09,family-2,process_billing,clean,16,peer,allowed,9,ok,True,41,0,0,252.947,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r09,2026-06-16T20:37:00.728935+00:00
family-2-process_billing-clean-a16-peer-allowed-r10,family-2,process_billing,clean,16,peer,allowed,10,ok,True,41,0,0,648.9,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r10,2026-06-16T21:00:17.033579+00:00
family-2-process_billing-clean-a16-peer-allowed-r11,family-2,process_billing,clean,16,peer,allowed,11,ok,True,41,0,0,315.738,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r11,2026-06-16T21:26:54.861531+00:00
family-2-process_billing-clean-a16-peer-allowed-r12,family-2,process_billing,clean,16,peer,allowed,12,ok,True,41,0,0,385.953,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r12,2026-06-17T11:14:52.285226+00:00
family-2-process_billing-clean-a16-peer-allowed-r13,family-2,process_billing,clean,16,peer,allowed,13,ok,True,41,0,0,296.354,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r13,2026-06-17T11:27:36.501469+00:00
family-2-process_billing-clean-a16-peer-allowed-r14,family-2,process_billing,clean,16,peer,allowed,14,ok,True,41,0,0,192.084,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r14,2026-06-17T11:37:39.643525+00:00
family-2-process_billing-clean-a16-peer-allowed-r15,family-2,process_billing,clean,16,peer,allowed,15,ok,True,41,0,0,488.27,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r15,2026-06-18T20:19:39.989774+00:00
family-2-process_billing-clean-a16-peer-allowed-r16,family-2,process_billing,clean,16,peer,allowed,16,ok,True,41,0,0,204.31,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r16,2026-06-18T20:29:04.173641+00:00
family-2-process_billing-clean-a16-peer-allowed-r17,family-2,process_billing,clean,16,peer,allowed,17,ok,True,41,0,0,472.843,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r17,2026-06-18T20:43:53.740346+00:00
family-2-process_billing-clean-a16-peer-allowed-r18,family-2,process_billing,clean,16,peer,allowed,18,ok,True,41,0,0,266.953,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r18,2026-06-18T21:10:14.452780+00:00
family-2-process_billing-clean-a16-peer-allowed-r19,family-2,process_billing,clean,16,peer,allowed,19,ok,True,41,0,0,219.775,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r19,2026-06-18T21:20:35.242005+00:00
family-2-process_billing-clean-a16-peer-allowed-r20,family-2,process_billing,clean,16,peer,allowed,20,ok,True,41,0,0,925.63,,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r20,2026-06-18T21:42:26.813458+00:00
