run_id,source,target,source_type,target_type,edge_type,subtype,timestamp,token_cost,byte_size,turn_uuid,tool,target_kind
family-2-process_billing-clean-a16-peer-allowed-r01,agent-13,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_shipping.py,agent,file,agent_to_file,create,2026-06-16T09:16:39.212Z,486.0,339,0495c816-6965-4f61-8011-06b7ba46daa5,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-5,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_product.py,agent,file,agent_to_file,create,2026-06-16T09:16:39.913Z,577.0,530,fd5ea1ee-ef94-46c7-b59c-0fca2930f363,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-14,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_final_amount.py,agent,file,agent_to_file,create,2026-06-16T09:16:40.225Z,338.0,245,db11f7d0-92f9-48e2-ab8b-d115f69b6244,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-15,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/rank_orders.py,agent,file,agent_to_file,create,2026-06-16T09:16:40.276Z,493.0,273,f42a72cb-10e3-4a54-883e-7066aa724be3,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-10,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_loyalty_credit.py,agent,file,agent_to_file,create,2026-06-16T09:16:41.559Z,475.0,414,f8950e65-161a-4b00-afca-2608bf170e41,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-8,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_volume_surcharge.py,agent,file,agent_to_file,create,2026-06-16T09:16:43.575Z,218.0,260,2abd8992-12c9-4f70-b25b-646e66deb49d,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-9,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_discount.py,agent,file,agent_to_file,create,2026-06-16T09:16:44.930Z,672.0,564,80082ecb-f270-4a20-b47c-e2190df4cda9,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-12,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_tax.py,agent,file,agent_to_file,create,2026-06-16T09:16:45.246Z,246.0,361,4cb97717-08ec-41b2-ba90-d6b945beb061,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-4,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_customer.py,agent,file,agent_to_file,create,2026-06-16T09:16:45.436Z,467.0,571,1f6ffd7b-8bd5-4d0f-8fe4-8dc7547e4eaa,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-2,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/validate.py,agent,file,agent_to_file,create,2026-06-16T09:16:45.770Z,512.0,372,0465caa4-0dee-4d80-aae0-35dc67d8b66c,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-6,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/filter_embargo.py,agent,file,agent_to_file,create,2026-06-16T09:16:46.822Z,200.0,183,8873287d-2dfd-447d-b9b4-c228c01df86c,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-7,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_line_totals.py,agent,file,agent_to_file,create,2026-06-16T09:16:47.957Z,535.0,366,c650f010-8598-4e05-80f5-5ad004ce603c,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-11,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_taxable_base.py,agent,file,agent_to_file,create,2026-06-16T09:16:48.608Z,711.0,295,6896d30e-a1ad-403a-85a2-54c56fabd502,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-3,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/dedupe.py,agent,file,agent_to_file,create,2026-06-16T09:16:49.393Z,321.0,261,1fce0ebc-5c9c-414f-8052-73e5e8e7daea,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,agent-1,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/parse.py,agent,file,agent_to_file,create,2026-06-16T09:16:51.723Z,550.0,1548,05a4a0d0-965c-4732-8272-a3ac8cbaa2e1,Write,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_shipping.py,agent-14,file,agent,file_to_agent,read,2026-06-16T09:16:59.629Z,368.0,363,a42d07bb-05bf-4d79-ac47-d3024e81d4ec,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_taxable_base.py,agent-14,file,agent,file_to_agent,read,2026-06-16T09:17:00.401Z,368.0,316,cfee8312-c4dc-4a22-8d76-5a23b66488f4,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_tax.py,agent-14,file,agent,file_to_agent,read,2026-06-16T09:17:00.644Z,368.0,385,a9a2438e-8666-4aff-b514-097d724bd05a,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/parse.py,agent-5,file,agent,file_to_agent,read,2026-06-16T09:17:02.787Z,528.0,1692,58890191-194f-47b9-b0f5-89d33bbddcd5,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/validate.py,agent-2,file,agent,file_to_agent,read,2026-06-16T09:17:03.123Z,159.0,399,ca2f3aff-4b9b-4f09-8eaa-5553cbd8d392,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/validate.py,agent-5,file,agent,file_to_agent,read,2026-06-16T09:17:03.579Z,528.0,399,0e6d5c6d-ce61-49a6-bd02-cccbf1f30f76,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/dedupe.py,agent-5,file,agent,file_to_agent,read,2026-06-16T09:17:03.950Z,528.0,282,ac4ec601-eddd-4f04-a04b-adcf1bbf809b,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/parse.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:04.393Z,443.0,1692,bb122422-0a80-409c-ab73-cf49b1937e5c,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/filter_embargo.py,agent-5,file,agent,file_to_agent,read,2026-06-16T09:17:04.717Z,528.0,195,69b59ed6-5f3a-4940-85d8-7debd6c20d58,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/validate.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:04.717Z,443.0,399,a42d9512-2022-44cc-98cd-d6a9f3aafbdb,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_customer.py,agent-5,file,agent,file_to_agent,read,2026-06-16T09:17:05.043Z,528.0,610,e129203e-8bb3-47f1-8e45-185259ee6c14,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/dedupe.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:05.114Z,443.0,282,87c545bf-8d19-4d58-bcf8-f08c10e137d9,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/filter_embargo.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:05.740Z,443.0,195,be36e7a5-38ab-4c6f-939d-969b2e627ee3,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_discount.py,agent-9,file,agent,file_to_agent,read,2026-06-16T09:17:07.188Z,158.0,618,dca6a30d-a7f5-4465-a038-d8ad5d23fe1d,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_customer.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:11.072Z,380.0,610,2707ee43-40fb-49cb-9532-c8639d6418c0,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/rank_orders.py,agent-14,file,agent,file_to_agent,read,2026-06-16T09:17:11.359Z,491.0,291,5bd9e7e5-8bea-4c87-b1ce-c70f0c79dab1,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_product.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:11.950Z,380.0,566,952cd011-bfef-4de3-a7cb-43cef02cb2e6,Read,
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_line_totals.py,agent-8,file,agent,file_to_agent,read,2026-06-16T09:17:12.753Z,380.0,384,bf6f9b7b-c7d1-4603-8dd5-abfcd7ff66c9,Read,
