run_id,node_id,node_type,label
family-2-process_billing-clean-a16-peer-allowed-r01,agent-1,agent,agent-1
family-2-process_billing-clean-a16-peer-allowed-r01,agent-2,agent,agent-2
family-2-process_billing-clean-a16-peer-allowed-r01,agent-3,agent,agent-3
family-2-process_billing-clean-a16-peer-allowed-r01,agent-4,agent,agent-4
family-2-process_billing-clean-a16-peer-allowed-r01,agent-5,agent,agent-5
family-2-process_billing-clean-a16-peer-allowed-r01,agent-6,agent,agent-6
family-2-process_billing-clean-a16-peer-allowed-r01,agent-7,agent,agent-7
family-2-process_billing-clean-a16-peer-allowed-r01,agent-8,agent,agent-8
family-2-process_billing-clean-a16-peer-allowed-r01,agent-9,agent,agent-9
family-2-process_billing-clean-a16-peer-allowed-r01,agent-10,agent,agent-10
family-2-process_billing-clean-a16-peer-allowed-r01,agent-11,agent,agent-11
family-2-process_billing-clean-a16-peer-allowed-r01,agent-12,agent,agent-12
family-2-process_billing-clean-a16-peer-allowed-r01,agent-13,agent,agent-13
family-2-process_billing-clean-a16-peer-allowed-r01,agent-14,agent,agent-14
family-2-process_billing-clean-a16-peer-allowed-r01,agent-15,agent,agent-15
family-2-process_billing-clean-a16-peer-allowed-r01,agent-16,agent,agent-16
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_shipping.py,file,apply_shipping.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/resolve_product.py,file,resolve_product.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_final_amount.py,file,compute_final_amount.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/rank_orders.py,file,rank_orders.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_loyalty_credit.py,file,apply_loyalty_credit.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_volume_surcharge.py,file,apply_volume_surcharge.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/apply_discount.py,file,apply_discount.py
family-2-process_billing-clean-a16-peer-allowed-r01,<repo>/data/h8-16agent/runs/family-2-process_billing-clean-a16-peer-allowed-r01/workspace/compute_tax.py,file,compute_tax.py
