run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-2-process_billing-clean-a16-peer-allowed-r01,family-2,process_billing/clean,16,peer,allowed,True,686.263,1298,362741,38,201,19,19,39,0,23,139
family-2-process_billing-clean-a16-peer-allowed-r02,family-2,process_billing/clean,16,peer,allowed,True,188.229,1153,279632,34,112,17,17,30,0,18,64
family-2-process_billing-clean-a16-peer-allowed-r03,family-2,process_billing/clean,16,peer,allowed,True,167.684,910,263135,34,120,17,17,32,0,23,65
family-2-process_billing-clean-a16-peer-allowed-r04,family-2,process_billing/clean,16,peer,allowed,True,340.917,1544,356808,34,172,17,17,34,0,26,112
family-2-process_billing-clean-a16-peer-allowed-r05,family-2,process_billing/clean,16,peer,allowed,True,250.669,1077,304577,39,150,17,22,33,0,25,92
family-2-process_billing-clean-a16-peer-allowed-r06,family-2,process_billing/clean,16,peer,allowed,True,841.809,1507,279567,43,121,24,19,42,0,17,62
family-2-process_billing-clean-a16-peer-allowed-r07,family-2,process_billing/clean,16,peer,allowed,True,309.632,1158,368572,37,159,17,20,49,7,26,84
family-2-process_billing-clean-a16-peer-allowed-r08,family-2,process_billing/clean,16,peer,allowed,True,202.264,1215,297811,37,130,17,20,38,0,28,64
family-2-process_billing-clean-a16-peer-allowed-r09,family-2,process_billing/clean,16,peer,allowed,True,246.549,994,280095,37,124,17,20,46,16,21,57
family-2-process_billing-clean-a16-peer-allowed-r10,family-2,process_billing/clean,16,peer,allowed,True,643.189,1340,363402,37,125,17,20,36,0,23,66
family-2-process_billing-clean-a16-peer-allowed-r11,family-2,process_billing/clean,16,peer,allowed,True,310.945,1299,336540,34,169,17,17,96,66,21,52
family-2-process_billing-clean-a16-peer-allowed-r12,family-2,process_billing/clean,16,peer,allowed,True,379.85,1337,236261,34,141,17,17,28,0,22,91
family-2-process_billing-clean-a16-peer-allowed-r13,family-2,process_billing/clean,16,peer,allowed,True,290.597,1347,652178,34,210,17,17,82,32,37,91
family-2-process_billing-clean-a16-peer-allowed-r14,family-2,process_billing/clean,16,peer,allowed,True,186.168,1097,418850,41,161,19,22,73,41,23,65
family-2-process_billing-clean-a16-peer-allowed-r15,family-2,process_billing/clean,16,peer,allowed,True,483.315,1519,248074,35,109,17,18,39,16,20,50
family-2-process_billing-clean-a16-peer-allowed-r16,family-2,process_billing/clean,16,peer,allowed,True,199.376,905,320017,37,129,17,20,40,0,21,68
family-2-process_billing-clean-a16-peer-allowed-r17,family-2,process_billing/clean,16,peer,allowed,True,467.316,1757,268996,34,102,17,17,33,0,25,44
family-2-process_billing-clean-a16-peer-mandatory-r01,family-2,process_billing/clean,16,peer,mandatory,True,540.16,1477,906530,46,445,21,25,30,0,93,322
family-2-process_billing-clean-a16-peer-mandatory-r02,family-2,process_billing/clean,16,peer,mandatory,True,305.909,2316,572891,43,388,19,24,29,0,69,290
family-2-process_billing-clean-a16-peer-mandatory-r03,family-2,process_billing/clean,16,peer,mandatory,True,794.067,1473,543580,40,344,17,23,28,0,56,260
family-2-process_billing-clean-a16-peer-mandatory-r04,family-2,process_billing/clean,16,peer,mandatory,True,275.82,1220,423751,48,358,17,31,32,0,45,281
family-2-process_billing-clean-a16-peer-mandatory-r05,family-2,process_billing/clean,16,peer,mandatory,True,307.532,1058,479891,40,293,17,23,24,0,57,212
family-2-process_billing-clean-a16-peer-mandatory-r06,family-2,process_billing/clean,16,peer,mandatory,True,302.203,992,461247,41,332,17,24,26,0,56,250
family-2-process_billing-clean-a16-peer-mandatory-r07,family-2,process_billing/clean,16,peer,mandatory,True,326.552,1166,502563,50,341,28,22,34,0,54,253
family-2-process_billing-clean-a16-peer-mandatory-r08,family-2,process_billing/clean,16,peer,mandatory,True,327.176,1238,611236,45,342,17,28,32,0,56,254
family-2-process_billing-clean-a16-peer-mandatory-r09,family-2,process_billing/clean,16,peer,mandatory,True,333.034,1122,743628,50,356,20,30,72,48,53,231
family-2-process_billing-clean-a16-peer-mandatory-r10,family-2,process_billing/clean,16,peer,mandatory,True,301.441,1224,539540,46,396,20,26,33,0,57,306
family-2-process_billing-clean-a4-peer-allowed-r01,family-2,process_billing/clean,4,peer,allowed,True,626.528,309,213377,22,76,5,17,25,21,19,32
family-2-process_billing-clean-a4-peer-allowed-r02,family-2,process_billing/clean,4,peer,allowed,True,274.882,353,120680,22,71,5,17,22,15,18,31
family-2-process_billing-clean-a4-peer-allowed-r03,family-2,process_billing/clean,4,peer,allowed,True,192.984,244,118161,22,66,5,17,23,17,17,26
family-2-process_billing-clean-a4-peer-allowed-r04,family-2,process_billing/clean,4,peer,allowed,True,412.187,217,115933,22,59,5,17,16,11,18,25
family-2-process_billing-clean-a4-peer-allowed-r05,family-2,process_billing/clean,4,peer,allowed,True,281.919,340,160631,22,73,5,17,23,17,17,33
family-2-process_billing-clean-a4-peer-allowed-r06,family-2,process_billing/clean,4,peer,allowed,True,241.666,216,161508,22,62,5,17,18,15,18,26
family-2-process_billing-clean-a4-peer-allowed-r07,family-2,process_billing/clean,4,peer,allowed,True,223.868,343,145229,22,67,5,17,21,16,19,27
family-2-process_billing-clean-a4-peer-allowed-r08,family-2,process_billing/clean,4,peer,allowed,True,216.314,272,179112,22,84,5,17,26,20,20,38
family-2-process_billing-clean-a4-peer-allowed-r09,family-2,process_billing/clean,4,peer,allowed,True,131.087,309,64893,23,37,5,18,16,14,17,4
family-2-process_billing-clean-a4-peer-allowed-r10,family-2,process_billing/clean,4,peer,allowed,True,235.958,260,167406,24,68,5,19,20,17,21,27
family-2-process_billing-clean-a4-peer-allowed-r11,family-2,process_billing/clean,4,peer,allowed,True,272.375,286,140657,22,80,5,17,28,22,19,33
family-2-process_billing-clean-a4-peer-allowed-r12,family-2,process_billing/clean,4,peer,allowed,True,185.771,253,156231,22,77,5,17,26,23,18,33
family-2-process_billing-clean-a4-peer-allowed-r13,family-2,process_billing/clean,4,peer,allowed,True,200.482,223,109107,22,43,5,17,23,19,18,2
family-2-process_billing-clean-a4-peer-allowed-r14,family-2,process_billing/clean,4,peer,allowed,True,196.239,250,131701,22,66,5,17,18,16,18,30
family-2-process_billing-clean-a4-peer-allowed-r15,family-2,process_billing/clean,4,peer,allowed,True,205.937,238,164937,22,67,5,17,21,19,18,28
family-2-process_billing-clean-a4-peer-allowed-r16,family-2,process_billing/clean,4,peer,allowed,True,139.65,238,103952,22,57,5,17,12,6,19,26
family-2-process_billing-clean-a4-peer-allowed-r17,family-2,process_billing/clean,4,peer,allowed,True,215.758,300,132834,22,84,5,17,26,20,20,38
family-2-process_billing-clean-a4-peer-allowed-r18,family-2,process_billing/clean,4,peer,allowed,True,234.548,233,167050,22,61,5,17,30,26,17,14
family-2-process_billing-clean-a8-peer-allowed-r01,family-2,process_billing/clean,8,peer,allowed,True,311.158,474,302931,26,121,9,17,85,77,18,18
family-2-process_billing-clean-a8-peer-allowed-r02,family-2,process_billing/clean,8,peer,allowed,True,237.914,457,203146,26,84,9,17,46,33,18,20
family-2-process_billing-clean-a8-peer-allowed-r03,family-2,process_billing/clean,8,peer,allowed,True,227.554,589,204261,26,107,9,17,25,9,21,61
family-2-process_billing-clean-a8-peer-allowed-r04,family-2,process_billing/clean,8,peer,allowed,True,213.635,1070,177290,26,73,9,17,31,18,20,22
family-2-process_billing-clean-a8-peer-allowed-r05,family-2,process_billing/clean,8,peer,allowed,True,233.262,694,241571,27,108,9,18,55,45,18,35
family-2-process_billing-clean-a8-peer-allowed-r06,family-2,process_billing/clean,8,peer,allowed,True,193.734,554,245022,28,99,9,19,61,56,18,20
family-2-process_billing-clean-a8-peer-allowed-r07,family-2,process_billing/clean,8,peer,allowed,True,173.964,2248,154617,26,72,9,17,46,33,18,8
family-2-process_billing-clean-a8-peer-allowed-r08,family-2,process_billing/clean,8,peer,allowed,False,212.416,536,245314,26,105,9,17,38,24,23,44
family-2-process_billing-clean-a8-peer-allowed-r09,family-2,process_billing/clean,8,peer,allowed,True,202.991,684,306205,27,120,9,18,82,75,18,20
family-2-process_billing-clean-a8-peer-allowed-r10,family-2,process_billing/clean,8,peer,allowed,True,157.989,423,143780,26,90,9,17,38,24,19,33
family-2-process_billing-clean-a8-peer-allowed-r11,family-2,process_billing/clean,8,peer,allowed,True,691.556,955,271366,26,88,9,17,46,34,17,25
family-2-process_billing-clean-a8-peer-allowed-r12,family-2,process_billing/clean,8,peer,allowed,True,218.075,555,178627,26,82,9,17,33,18,24,25
family-2-process_billing-clean-a8-peer-allowed-r13,family-2,process_billing/clean,8,peer,allowed,True,256.069,475,190777,28,76,9,19,25,13,18,33
family-2-process_billing-clean-a8-peer-allowed-r14,family-2,process_billing/clean,8,peer,allowed,True,205.467,546,215659,27,119,9,18,33,17,23,63
family-2-process_billing-clean-a8-peer-allowed-r15,family-2,process_billing/clean,8,peer,allowed,True,169.53,567,152049,26,85,9,17,22,8,20,43
family-2-process_billing-clean-a8-peer-allowed-r16,family-2,process_billing/clean,8,peer,allowed,True,211.237,556,327802,28,122,9,19,53,37,22,47
family-2-process_billing-clean-a8-peer-allowed-r17,family-2,process_billing/clean,8,peer,allowed,True,191.156,558,261348,26,106,9,17,52,39,21,33
family-2-process_billing-clean-a8-peer-allowed-r18,family-2,process_billing/clean,8,peer,allowed,True,194.178,710,278701,26,125,9,17,55,42,19,51
family-2-process_billing-clean-a16-peer-allowed-r18,family-2,process_billing/clean,16,peer,allowed,True,261.407,1329,317941,35,176,17,18,81,52,19,76
family-2-process_billing-clean-a4-peer-allowed-r19,family-2,process_billing/clean,4,peer,allowed,True,157.235,190,88283,22,41,5,17,8,0,19,14
family-2-process_billing-clean-a8-peer-allowed-r19,family-2,process_billing/clean,8,peer,allowed,True,235.037,757,319987,26,130,9,17,80,74,17,33
family-2-process_billing-clean-a16-peer-allowed-r19,family-2,process_billing/clean,16,peer,allowed,True,214.54,2068,314184,40,146,17,23,50,15,29,67
family-2-process_billing-clean-a4-peer-allowed-r20,family-2,process_billing/clean,4,peer,allowed,True,153.512,222,101957,24,47,5,19,27,25,17,3
family-2-process_billing-clean-a8-peer-allowed-r20,family-2,process_billing/clean,8,peer,allowed,True,222.45,648,228181,26,79,9,17,33,16,23,23
family-2-process_billing-clean-a16-peer-allowed-r20,family-2,process_billing/clean,16,peer,allowed,True,920.139,1829,390066,36,140,17,19,35,0,20,85
