run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_agent_directed,n_agent_to_file,n_file_to_agent
family-1-process_orders-clean-a8-peer-allowed-r101,family-1,process_orders/clean,8,peer,allowed,True,381.964,958,341136,37,198,16,21,124,112,5,69
family-1-process_orders-clean-a8-peer-allowed-r102,family-1,process_orders/clean,8,peer,allowed,True,733.329,881,346172,30,178,17,13,130,106,6,42
family-1-process_orders-clean-a8-peer-allowed-r103,family-1,process_orders/clean,8,peer,allowed,True,262.288,566,256576,34,140,17,17,100,76,8,32
family-1-process_orders-clean-a8-peer-allowed-r104,family-1,process_orders/clean,8,peer,allowed,True,295.64,703,400025,21,198,8,13,129,129,7,62
family-1-process_orders-clean-a8-peer-allowed-r105,family-1,process_orders/clean,8,peer,allowed,True,354.415,609,302939,37,184,16,21,108,90,8,68
family-1-process_orders-clean-a8-peer-allowed-r106,family-1,process_orders/clean,8,peer,allowed,True,275.393,616,255581,37,146,16,21,92,69,12,42
family-1-process_orders-clean-a8-peer-allowed-r107,family-1,process_orders/clean,8,peer,allowed,True,774.537,660,347076,36,201,15,21,127,119,10,64
family-1-process_orders-clean-a8-peer-allowed-r108,family-1,process_orders/clean,8,peer,allowed,True,325.133,828,230623,30,173,16,14,110,95,13,50
family-1-process_orders-clean-a8-peer-allowed-r109,family-1,process_orders/clean,8,peer,allowed,True,374.892,633,215398,31,142,17,14,87,70,13,42
family-1-process_orders-clean-a8-peer-allowed-r110,family-1,process_orders/clean,8,peer,allowed,True,356.438,580,265204,22,151,9,13,83,74,5,63
family-1-process_orders-clean-a8-peer-allowed-r111,family-1,process_orders/clean,8,peer,allowed,True,316.297,693,303187,33,176,16,17,101,86,10,65
family-1-process_orders-clean-a8-peer-allowed-r112,family-1,process_orders/clean,8,peer,allowed,True,371.687,619,248692,26,283,9,17,221,216,3,59
family-1-process_orders-clean-a8-peer-allowed-r113,family-1,process_orders/clean,8,peer,allowed,True,423.212,815,292374,31,193,18,13,120,94,14,59
family-1-process_orders-clean-a8-peer-allowed-r114,family-1,process_orders/clean,8,peer,allowed,True,229.291,578,262440,31,158,16,15,127,114,4,27
family-1-process_orders-clean-a8-peer-allowed-r115,family-1,process_orders/clean,8,peer,allowed,True,441.716,857,399176,39,210,18,21,122,102,12,76
family-1-process_orders-clean-a8-peer-allowed-r116,family-1,process_orders/clean,8,peer,allowed,True,339.436,829,257843,37,167,16,21,117,102,8,42
family-1-process_orders-clean-a8-peer-allowed-r117,family-1,process_orders/clean,8,peer,allowed,True,529.289,802,283513,29,184,12,17,124,110,13,47
family-1-process_orders-clean-a8-peer-allowed-r118,family-1,process_orders/clean,8,peer,allowed,True,230.651,668,335272,30,186,9,21,135,128,6,45
family-1-process_orders-clean-a8-peer-allowed-r119,family-1,process_orders/clean,8,peer,allowed,True,319.367,589,254102,23,149,9,14,113,106,4,32
family-1-process_orders-clean-a8-peer-allowed-r120,family-1,process_orders/clean,8,peer,allowed,True,372.456,783,325487,37,194,16,21,114,102,10,70
family-1-process_orders-clean-a8-peer-allowed-r121,family-1,process_orders/clean,8,peer,allowed,True,416.132,977,243942,23,135,9,14,92,88,7,36
family-1-process_orders-clean-a8-peer-allowed-r122,family-1,process_orders/clean,8,peer,allowed,True,318.255,597,217570,24,137,9,15,88,78,13,36
family-1-process_orders-clean-a8-peer-allowed-r123,family-1,process_orders/clean,8,peer,allowed,True,334.451,805,246806,26,152,9,17,114,102,3,35
family-1-process_orders-clean-a8-peer-allowed-r124,family-1,process_orders/clean,8,peer,allowed,True,357.872,789,277123,31,193,17,14,143,129,11,39
family-1-process_orders-clean-a8-peer-allowed-r125,family-1,process_orders/clean,8,peer,allowed,True,512.858,929,412982,38,329,17,21,234,206,6,89
family-1-process_orders-clean-a8-peer-allowed-r126,family-1,process_orders/clean,8,peer,allowed,True,475.494,697,302044,22,165,9,13,92,83,12,61
family-1-process_orders-clean-a8-peer-allowed-r127,family-1,process_orders/clean,8,peer,allowed,True,216.124,626,282935,30,148,9,21,99,94,9,40
family-1-process_orders-clean-a8-peer-allowed-r128,family-1,process_orders/clean,8,peer,allowed,False,601.081,764,309151,29,194,17,12,127,115,13,54
family-1-process_orders-clean-a8-peer-allowed-r129,family-1,process_orders/clean,8,peer,allowed,True,458.154,804,256306,24,148,9,15,96,81,9,43
family-1-process_orders-clean-a8-peer-allowed-r130,family-1,process_orders/clean,8,peer,allowed,True,269.728,595,230202,23,139,10,13,91,85,8,40
family-1-process_orders-clean-a8-peer-mandatory-r101,family-1,process_orders/clean,8,peer,mandatory,True,192.462,386,215440,27,93,17,10,12,0,25,56
family-1-process_orders-clean-a8-peer-mandatory-r102,family-1,process_orders/clean,8,peer,mandatory,True,339.413,420,233301,18,91,9,9,10,7,23,58
family-1-process_orders-clean-a8-peer-mandatory-r103,family-1,process_orders/clean,8,peer,mandatory,True,271.907,472,212263,31,129,16,15,23,14,27,79
family-1-process_orders-clean-a8-peer-mandatory-r104,family-1,process_orders/clean,8,peer,mandatory,True,221.057,480,263191,42,149,16,26,34,25,24,91
family-1-process_orders-clean-a8-peer-mandatory-r105,family-1,process_orders/clean,8,peer,mandatory,True,290.453,415,214289,18,110,8,10,25,25,26,59
family-1-process_orders-clean-a8-peer-mandatory-r106,family-1,process_orders/clean,8,peer,mandatory,True,178.439,403,241794,25,124,16,9,31,14,23,70
family-1-process_orders-clean-a8-peer-mandatory-r107,family-1,process_orders/clean,8,peer,mandatory,True,187.681,368,233325,34,113,17,17,20,7,24,69
family-1-process_orders-clean-a8-peer-mandatory-r108,family-1,process_orders/clean,8,peer,mandatory,True,205.047,358,205600,17,105,8,9,17,17,26,62
family-1-process_orders-clean-a8-peer-mandatory-r109,family-1,process_orders/clean,8,peer,mandatory,True,215.782,479,260764,23,146,9,14,29,29,29,88
family-1-process_orders-clean-a8-peer-mandatory-r110,family-1,process_orders/clean,8,peer,mandatory,True,211.864,439,254645,26,129,16,10,54,46,16,59
family-1-process_orders-clean-a8-peer-mandatory-r111,family-1,process_orders/clean,8,peer,mandatory,True,256.388,371,216906,16,87,8,8,14,14,20,53
family-1-process_orders-clean-a8-peer-mandatory-r112,family-1,process_orders/clean,8,peer,mandatory,True,186.975,375,193965,18,101,9,9,8,7,27,66
family-1-process_orders-clean-a8-peer-mandatory-r113,family-1,process_orders/clean,8,peer,mandatory,True,255.395,477,252346,27,147,9,18,51,46,22,74
family-1-process_orders-clean-a8-peer-mandatory-r114,family-1,process_orders/clean,8,peer,mandatory,True,177.55,318,153859,24,73,8,16,8,8,17,48
family-1-process_orders-clean-a8-peer-mandatory-r115,family-1,process_orders/clean,8,peer,mandatory,True,171.894,368,197220,19,112,9,10,25,23,22,65
family-1-process_orders-clean-a8-peer-mandatory-r116,family-1,process_orders/clean,8,peer,mandatory,True,193.838,361,171734,19,67,9,10,17,11,18,32
